Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.001, 0.249, 49.890, 6.283, 0.005, 0.000, 15.000
0.000, 0.002, 0.249, 0.000, 6.283, 0.005, 0.000, 15.000
0.000, 0.006, 0.624, 74.836, 6.283, 0.005, 0.000, 15.000
0.000, 0.010, 0.873, 49.892, 6.283, 0.005, 0.000, 15.000
0.000, 0.016, 1.123, 49.894, 6.283, 0.005, 0.000, 15.000
0.000, 0.022, 1.372, 49.896, 6.283, 0.005, 0.000, 15.000
0.000, 0.031, 1.622, 49.901, 6.283, 0.005, 0.000, 15.000
0.001, 0.040, 1.871, 49.907, 6.283, 0.005, 0.001, 15.000
0.001, 0.051, 2.121, 49.915, 6.283, 0.005, 0.001, 15.000
0.001, 0.062, 2.370, 49.925, 6.283, 0.005, 0.001, 15.000
0.002, 0.075, 2.620, 49.938, 6.283, 0.005, 0.002, 15.000
0.002, 0.090, 2.870, 49.954, 6.283, 0.005, 0.002, 15.000
0.003, 0.105, 3.120, 49.973, 6.283, 0.005, 0.003, 15.000
0.003, 0.122, 3.370, 49.996, 6.283, 0.005, 0.003, 15.000
0.004, 0.140, 3.620, 50.022, 6.283, 0.005, 0.004, 15.000
0.005, 0.160, 3.870, 50.052, 6.283, 0.005, 0.005, 15.000
0.006, 0.180, 4.120, 50.086, 6.283, 0.005, 0.006, 15.000
0.007, 0.202, 4.371, 50.126, 6.283, 0.005, 0.007, 15.000
0.008, 0.225, 4.622, 50.169, 6.283, 0.005, 0.008, 15.000
0.009, 0.250, 4.873, 50.218, 6.283, 0.005, 0.009, 15.000
0.010, 0.275, 5.124, 50.273, 6.283, 0.005, 0.010, 15.000
0.012, 0.302, 5.376, 50.333, 6.283, 0.005, 0.012, 15.000
0.013, 0.330, 5.628, 50.399, 6.283, 0.005, 0.013, 15.000
0.015, 0.360, 5.880, 50.472, 6.283, 0.005, 0.015, 15.000
0.017, 0.390, 6.133, 50.550, 6.283, 0.005, 0.017, 15.000
