Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.001, 0.250, 49.964, 6.283, 0.005, 0.000, -15.000
0.000, 0.002, 0.250, -0.000, 6.283, 0.005, 0.000, -15.000
0.000, 0.006, 0.625, 74.946, 6.283, 0.005, 0.000, -15.000
0.000, 0.010, 0.874, 49.964, 6.283, 0.005, 0.000, -15.000
0.000, 0.016, 1.124, 49.964, 6.283, 0.005, 0.000, -15.000
0.000, 0.022, 1.374, 49.963, 6.283, 0.005, 0.000, -15.000
0.000, 0.031, 1.624, 49.962, 6.283, 0.005, 0.000, -15.000
0.001, 0.040, 1.874, 49.961, 6.283, 0.005, 0.001, -15.000
0.001, 0.051, 2.123, 49.959, 6.283, 0.005, 0.001, -15.000
0.001, 0.062, 2.373, 49.957, 6.283, 0.005, 0.001, -15.000
0.002, 0.076, 2.623, 49.954, 6.283, 0.005, 0.002, -15.000
0.002, 0.090, 2.873, 49.951, 6.283, 0.005, 0.002, -15.000
0.003, 0.106, 3.122, 49.947, 6.283, 0.005, 0.003, -15.000
0.003, 0.122, 3.372, 49.943, 6.283, 0.005, 0.003, -15.000
0.004, 0.141, 3.622, 49.937, 6.283, 0.005, 0.004, -15.000
0.005, 0.160, 3.872, 49.931, 6.283, 0.005, 0.005, -15.000
0.006, 0.180, 4.121, 49.924, 6.283, 0.005, 0.006, -15.000
0.007, 0.202, 4.371, 49.916, 6.283, 0.005, 0.007, -15.000
0.008, 0.225, 4.620, 49.907, 6.283, 0.005, 0.008, -15.000
0.009, 0.250, 4.870, 49.897, 6.283, 0.005, 0.009, -15.000
0.010, 0.275, 5.119, 49.886, 6.283, 0.005, 0.010, -15.000
0.012, 0.302, 5.369, 49.874, 6.283, 0.005, 0.012, -15.000
0.014, 0.330, 5.618, 49.860, 6.283, 0.005, 0.014, -15.000
0.015, 0.360, 5.867, 49.846, 6.283, 0.005, 0.015, -15.000
0.017, 0.390, 6.116, 49.829, 6.283, 0.005, 0.017, -15.000
0.019, 0.422, 6.365, 49.812, 6.283, 0.005, 0.019, -15.000
0.022, 0.455, 6.614, 49.793, 6.283, 0.005, 0.022, -15.000
0.024, 0.489, 6.863, 49.772, 6.283, 0.005, 0.024, -15.000
0.027, 0.525, 7.112, 49.750, 6.283, 0.005, 0.027, -15.000
0.030, 0.562, 7.360, 49.727, 6.283, 0.005, 0.030, -15.000
0.033, 0.600, 7.609, 49.701, 6.283, 0.005, 0.033, -15.000
0.036, 0.639, 7.857, 49.674, 6.283, 0.005, 0.036, -15.000
0.039, 0.680, 8.106, 49.645, 6.283, 0.005, 0.039, -15.000
0.043, 0.721, 8.354, 49.614, 6.283, 0.005, 0.043, -15.000
0.047, 0.764, 8.602, 49.582, 6.283, 0.005, 0.047, -15.000
0.051, 0.809, 8.849, 49.547, 6.283, 0.005, 0.051, -15.000
0.055, 0.854, 9.097, 49.511, 6.283, 0.005, 0.055, -15.000
0.059, 0.901, 9.344, 49.472, 6.283, 0.005, 0.059, -15.000
0.064, 0.949, 9.591, 49.431, 6.283, 0.005, 0.064, -15.000
0.069, 0.998, 9.838, 49.388, 6.283, 0.005, 0.069, -15.000
0.074, 1.048, 10.085, 49.343, 6.283, 0.005, 0.074, -15.000
0.080, 1.100, 10.332, 49.295, 6.283, 0.005, 0.080, -15.000
0.086, 1.153, 10.578, 49.246, 6.283, 0.005, 0.086, -15.000
0.092, 1.207, 10.824, 49.193, 6.283, 0.005, 0.092, -15.000
0.098, 1.262, 11.069, 49.139, 6.283, 0.005, 0.098, -15.000
