dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,22.000000,115.000000,0.000025,0.009997,1.999390,399.877937,6.283176
0.005000,22.000000,115.000000,0.000125,0.029991,3.998779,399.877937,6.283177
0.005000,22.000000,115.000000,0.000350,0.059982,5.998169,399.877937,6.283179
0.005000,22.000000,115.000000,0.000750,0.099969,7.997559,399.877937,6.283182
0.005000,22.000307,115.000000,0.001375,0.149954,9.996948,399.877937,0.000003
0.005000,22.001207,115.000000,0.002274,0.209936,11.996338,399.877937,0.000011
0.005000,22.002431,115.000000,0.003499,0.279915,13.995728,399.877937,0.000022
0.005000,22.004031,115.000000,0.005098,0.359890,15.995117,399.877937,0.000036
0.005000,22.006055,115.000000,0.007123,0.449863,17.994507,399.877937,0.000054
0.005000,22.008554,115.000000,0.009622,0.549832,19.993897,399.877937,0.000077
0.005000,22.011578,115.000001,0.012646,0.659799,21.993287,399.877937,0.000104
0.005000,22.015177,115.000001,0.016245,0.779762,23.992676,399.877937,0.000136
0.005000,22.019401,115.000002,0.020469,0.909722,25.992066,399.877937,0.000174
0.005000,22.024299,115.000003,0.025367,1.049680,27.991456,399.877937,0.000217
0.005000,22.029923,115.000004,0.030991,1.199634,29.990845,399.877937,0.000268
0.005000,22.036321,115.000006,0.037389,1.359585,31.990235,399.877937,0.000325
0.005000,22.043544,115.000008,0.044611,1.529533,33.989625,399.877937,0.000389
0.005000,22.051641,115.000012,0.052709,1.709478,35.989014,399.877937,0.000462
0.005000,22.060663,115.000016,0.061731,1.899420,37.988404,399.877937,0.000542
0.005000,22.070660,115.000022,0.071728,2.099359,39.987794,399.877937,0.000632
0.005000,22.081682,115.000030,0.082750,2.309295,41.987183,399.877937,0.000730
0.005000,22.093778,115.000039,0.094846,2.529228,43.986573,399.877937,0.000838
0.005000,22.106999,115.000051,0.108067,2.759158,45.985963,399.877937,0.000956
0.005000,22.121395,115.000066,0.122463,2.999085,47.985352,399.877937,0.001085
0.005000,22.137015,115.000084,0.138083,3.249008,49.984742,399.877937,0.001225
0.005000,22.153910,115.000106,0.154978,3.508929,51.984132,399.877937,0.001375
0.005000,22.172129,115.000132,0.173197,3.778847,53.983522,399.877937,0.001538
0.005000,22.191723,115.000164,0.192791,4.058761,55.982911,399.877937,0.001713
0.005000,22.212742,115.000202,0.213810,4.348673,57.982301,399.877937,0.001900
0.005000,22.235235,115.000247,0.236303,4.648581,59.981691,399.877937,0.002101
0.005000,22.259253,115.000300,0.260321,4.958486,61.981080,399.877937,0.002315
0.005000,22.284845,115.000362,0.285913,5.278389,63.980470,399.877937,0.002543
0.005000,22.312061,115.000435,0.313129,5.608288,65.979860,399.877937,0.002785
0.005000,22.340952,115.000519,0.342021,5.948184,67.979249,399.877937,0.003043
0.005000,22.371568,115.000616,0.372636,6.298078,69.978639,399.877937,0.003315
0.005000,22.403958,115.000729,0.405026,6.657968,71.978029,399.877937,0.003603
0.005000,22.438172,115.000857,0.439241,7.027855,73.977418,399.877937,0.003908
0.005000,22.474261,115.001004,0.475330,7.407739,75.976808,399.877937,0.004228
0.005000,22.512274,115.001171,0.513343,7.797620,77.976198,399.877937,0.004566
0.005000,22.552261,115.001361,0.553331,8.197498,79.975587,399.877937,0.004921
0.005000,22.594273,115.001575,0.595343,8.607373,81.974977,399.877937,0.005294
0.005000,22.638359,115.001817,0.639430,9.027244,83.974367,399.877937,0.005684
0.005000,22.684569,115.002089,0.685641,9.457113,85.973756,399.877937,0.006094
0.005000,22.732953,115.002395,0.734026,9.896979,87.973146,399.877937,0.006522
0.005000,22.783561,115.002736,0.784635,10.346842,89.972536,399.877937,0.006970
0.005000,22.836444,115.003117,0.837519,10.806701,91.971926,399.877937,0.007438
0.005000,22.891650,115.003541,0.892727,11.276558,93.971315,399.877937,0.007925
0.005000,22.949231,115.004012,0.950310,11.756411,95.970705,399.877937,0.008434
0.005000,23.009235,115.004534,1.010317,12.246262,97.970095,399.877937,0.008963
0.005000,23.071714,115.005111,1.072798,12.746109,99.969484,399.877937,0.009513
0.005000,23.136691,115.005748,1.137778,13.245957,99.969484,0.000000,0.010085
0.005000,23.204166,115.006448,1.205257,13.745804,99.969484,0.000000,0.010678
0.005000,23.274141,115.007217,1.275236,14.245652,99.969484,0.000000,0.011293
0.005000,23.346614,115.008059,1.347714,14.745499,99.969484,0.000000,0.011929
0.005000,23.421585,115.008978,1.422691,15.245346,99.969484,0.000000,0.012586
0.005000,23.499055,115.009979,1.500167,15.745194,99.969484,-0.000000,0.013264
0.005000,23.579023,115.011068,1.580143,16.245041,99.969484,0.000000,0.013964
0.005000,23.661490,115.012249,1.662617,16.744889,99.969484,0.000000,0.014684
0.005000,23.746454,115.013528,1.747592,17.244736,99.969484,0.000000,0.015425
0.005000,23.833916,115.014911,1.835065,17.744583,99.969484,-0.000000,0.016187
0.005000,23.923877,115.016402,1.925037,18.244431,99.969484,0.000000,0.016969
0.005000,24.016334,115.018009,2.017509,18.744278,99.969484,0.000000,0.017773
0.005000,24.111290,115.019736,2.112480,19.244126,99.969484,0.000000,0.018596
0.005000,24.208742,115.021589,2.209950,19.743973,99.969484,0.000000,0.019440
0.005000,24.308692,115.023576,2.309920,20.243821,99.969484,-0.000000,0.020304
0.005000,24.411139,115.025701,2.412389,20.743668,99.969484,0.000000,0.021189
0.005000,24.516082,115.027973,2.517357,21.243515,99.969484,0.000000,0.022093
0.005000,24.623522,115.030397,2.624824,21.743363,99.969484,-0.000000,0.023018
0.005000,24.733458,115.032980,2.734790,22.243210,99.969484,0.000000,0.023962
0.005000,24.845890,115.035728,2.847256,22.743058,99.969484,-0.000000,0.024926
0.005000,24.960818,115.038650,2.962221,23.242905,99.969484,0.000000,0.025910
0.005000,25.078241,115.041752,3.079685,23.742753,99.969484,-0.000000,0.026913
0.005000,25.198159,115.045042,3.199648,24.242600,99.969484,0.000000,0.027936
0.005000,25.320572,115.048526,3.322111,24.742447,99.969484,0.000000,0.028977
0.005000,25.445480,115.052213,3.447073,25.242295,99.969484,0.000000,0.030038
0.005000,25.572881,115.056110,3.574534,25.742142,99.969484,0.000000,0.031118
0.005000,25.702776,115.060225,3.704494,26.241990,99.969484,-0.000000,0.032216
0.005000,25.835165,115.064565,3.836954,26.741837,99.969484,0.000000,0.033333
0.005000,25.970046,115.069140,3.971913,27.241684,99.969484,0.000000,0.034469
0.005000,26.107420,115.073956,4.109371,27.741532,99.969484,-0.000000,0.035623
0.005000,26.247285,115.079023,4.249328,28.241379,99.969484,0.000000,0.036795
0.005000,26.389642,115.084348,4.391784,28.741227,99.969484,-0.000000,0.037985
0.005000,26.534490,115.089940,4.536740,29.241074,99.969484,0.000000,0.039193
0.005000,26.681828,115.095808,4.684195,29.740922,99.969484,-0.000000,0.040419
0.005000,26.831656,115.101961,4.834149,30.240769,99.969484,0.000000,0.041662
0.005000,26.983973,115.108407,4.986603,30.740616,99.969484,0.000000,0.042922
0.005000,27.138779,115.115154,5.141556,31.240464,99.969484,-0.000000,0.044200
0.005000,27.296073,115.122213,5.299007,31.740311,99.969484,-0.000000,0.045495
0.005000,27.455853,115.129593,5.458959,32.240159,99.969484,0.000000,0.046806
0.005000,27.618121,115.137301,5.621409,32.740006,99.969484,0.000000,0.048134
0.005000,27.782874,115.145349,5.786359,33.239854,99.969484,-0.000000,0.049479
0.005000,27.950112,115.153744,5.953808,33.739701,99.969484,0.000000,0.050839
0.005000,28.119835,115.162498,6.123756,34.239548,99.969484,0.000000,0.052216
0.005000,28.292041,115.171618,6.296203,34.739396,99.969484,-0.000000,0.053608
0.005000,28.466730,115.181115,6.471150,35.239243,99.969484,0.000000,0.055016
0.005000,28.643900,115.190999,6.648596,35.739091,99.969484,0.000000,0.056440
0.005000,28.823551,115.201279,6.828541,36.238938,99.969484,0.000000,0.057878
0.005000,29.005682,115.211965,7.010985,36.738785,99.969484,0.000000,0.059332
0.005000,29.190292,115.223067,7.195928,37.238633,99.969484,0.000000,0.060800
0.005000,29.377380,115.234595,7.383371,37.738480,99.969484,0.000000,0.062283
0.005000,29.566945,115.246560,7.573313,38.238328,99.969484,0.000000,0.063779
0.005000,29.758985,115.258970,7.765755,38.738175,99.969484,-0.000000,0.065290
0.005000,29.953501,115.271837,7.960695,39.238023,99.969484,0.000000,0.066815
0.005000,30.150490,115.285171,8.158135,39.737870,99.969484,0.000000,0.068353
0.005000,30.349951,115.298982,8.358074,40.237717,99.969484,0.000000,0.069904
0.005000,30.551884,115.313279,8.560512,40.737565,99.969484,0.000000,0.071469
0.005000,30.756287,115.328075,8.765449,41.237412,99.969484,-0.000000,0.073046
