dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,173.000000,96.000000,0.000025,0.009970,1.994081,398.816265,1.570804
0.005000,173.000000,96.000000,0.000125,0.029911,3.988163,398.816265,1.570800
0.005000,173.000000,96.000116,0.000349,0.059822,5.982244,398.816265,1.570792
0.005000,173.000000,96.000514,0.000748,0.099704,7.976325,398.816265,1.570778
0.005000,173.000000,96.001138,0.001371,0.149556,9.970407,398.816265,1.570756
0.005000,173.000000,96.002035,0.002268,0.209379,11.964488,398.816265,1.570724
0.005000,173.000000,96.003256,0.003490,0.279171,13.958569,398.816265,1.570680
0.005000,173.000000,96.004852,0.005085,0.358935,15.952651,398.816265,1.570623
0.005000,173.000001,96.006871,0.007104,0.448668,17.946732,398.816265,1.570551
0.005000,173.000002,96.009363,0.009597,0.548372,19.940813,398.816265,1.570463
0.005000,173.000003,96.012379,0.012613,0.658047,21.934895,398.816265,1.570355
0.005000,173.000005,96.015969,0.016202,0.777692,23.928976,398.816265,1.570227
0.005000,173.000007,96.020181,0.020414,0.907307,25.923057,398.816265,1.570077
0.005000,173.000011,96.025067,0.025300,1.046893,27.917139,398.816265,1.569903
0.005000,173.000017,96.030675,0.030908,1.196449,29.911220,398.816265,1.569703
0.005000,173.000024,96.037056,0.037289,1.355975,31.905301,398.816265,1.569476
0.005000,173.000035,96.044260,0.044493,1.525472,33.899383,398.816265,1.569219
0.005000,173.000049,96.052336,0.052569,1.704940,35.893464,398.816265,1.568931
0.005000,173.000067,96.061334,0.061567,1.894377,37.887545,398.816265,1.568610
0.005000,173.000091,96.071304,0.071538,2.093785,39.881626,398.816265,1.568255
0.005000,173.000121,96.082297,0.082530,2.303164,41.875708,398.816265,1.567863
0.005000,173.000159,96.094361,0.094594,2.522513,43.869789,398.816265,1.567433
0.005000,173.000206,96.107546,0.107780,2.751832,45.863870,398.816265,1.566963
0.005000,173.000265,96.121904,0.122137,2.991122,47.857952,398.816265,1.566451
0.005000,173.000337,96.137482,0.137716,3.240382,49.852033,398.816265,1.565896
0.005000,173.000424,96.154332,0.154566,3.499613,51.846114,398.816265,1.565296
0.005000,173.000530,96.172503,0.172737,3.768814,53.840196,398.816265,1.564648
0.005000,173.000657,96.192044,0.192279,4.047985,55.834277,398.816265,1.563952
0.005000,173.000809,96.213007,0.213242,4.337127,57.828358,398.816265,1.563205
0.005000,173.000988,96.235439,0.235675,4.636239,59.822440,398.816265,1.562405
0.005000,173.001199,96.259392,0.259629,4.945322,61.816521,398.816265,1.561552
0.005000,173.001447,96.284915,0.285154,5.264375,63.810602,398.816265,1.560642
0.005000,173.001735,96.312058,0.312298,5.593398,65.804684,398.816265,1.559675
0.005000,173.002071,96.340871,0.341113,5.932392,67.798765,398.816265,1.558648
0.005000,173.002458,96.371403,0.371647,6.281356,69.792846,398.816265,1.557560
0.005000,173.002904,96.403704,0.403951,6.640291,71.786928,398.816265,1.556410
0.005000,173.003416,96.437824,0.438075,7.009196,73.781009,398.816265,1.555194
0.005000,173.004001,96.473812,0.474068,7.388071,75.775090,398.816265,1.553912
0.005000,173.004666,96.511719,0.511980,7.776917,77.769172,398.816265,1.552562
0.005000,173.005422,96.551593,0.551862,8.175733,79.763253,398.816265,1.551142
0.005000,173.006276,96.593485,0.593763,8.584520,81.757334,398.816265,1.549650
0.005000,173.007241,96.637444,0.637732,9.003277,83.751416,398.816265,1.548085
0.005000,173.008325,96.683519,0.683820,9.432005,85.745497,398.816265,1.546444
0.005000,173.009541,96.731761,0.732077,9.870703,87.739578,398.816265,1.544727
0.005000,173.010902,96.782218,0.782552,10.319371,89.733660,398.816265,1.542931
0.005000,173.012421,96.834939,0.835296,10.778010,91.727741,398.816265,1.541055
0.005000,173.014113,96.889975,0.890357,11.246619,93.721822,398.816265,1.539098
0.005000,173.015991,96.947374,0.947787,11.725198,95.715904,398.816265,1.537056
0.005000,173.018074,97.007185,1.007634,12.213748,97.709985,398.816265,1.534930
0.005000,173.020377,97.069457,1.069949,12.712268,99.704066,398.816265,1.532716
0.005000,173.022919,97.134215,1.134757,13.210789,99.704066,0.000000,1.530415
0.005000,173.025716,97.201457,1.202057,13.709309,99.704066,0.000000,1.528027
0.005000,173.028787,97.271182,1.271850,14.207829,99.704066,0.000000,1.525551
0.005000,173.032149,97.343389,1.344135,14.706350,99.704066,0.000000,1.522988
0.005000,173.035821,97.418077,1.418913,15.204870,99.704066,0.000000,1.520339
