dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,62.000000,-7.000000,0.000025,0.009937,1.987420,397.484056,0.523605
0.005000,62.000000,-7.000000,0.000124,0.029811,3.974841,397.484056,0.523603
0.005000,62.000022,-6.999987,0.000348,0.059623,5.962261,397.484056,0.523598
0.005000,62.000367,-6.999788,0.000745,0.099371,7.949681,397.484056,0.523590
0.005000,62.000905,-6.999478,0.001366,0.149057,9.937101,397.484056,0.523577
0.005000,62.001679,-6.999031,0.002261,0.208679,11.924522,397.484056,0.523558
0.005000,62.002733,-6.998422,0.003478,0.278239,13.911942,397.484056,0.523532
0.005000,62.004110,-6.997627,0.005068,0.357736,15.899362,397.484056,0.523498
0.005000,62.005853,-6.996621,0.007080,0.447170,17.886783,397.484056,0.523455
0.005000,62.008005,-6.995380,0.009564,0.546541,19.874203,397.484056,0.523403
0.005000,62.010608,-6.993877,0.012570,0.655849,21.861623,397.484056,0.523339
0.005000,62.013707,-6.992089,0.016148,0.775094,23.849043,397.484056,0.523263
0.005000,62.017344,-6.989992,0.020346,0.904276,25.836464,397.484056,0.523174
0.005000,62.021562,-6.987559,0.025215,1.043396,27.823884,397.484056,0.523070
0.005000,62.026404,-6.984767,0.030805,1.192452,29.811304,397.484056,0.522952
0.005000,62.031914,-6.981591,0.037165,1.351446,31.798725,397.484056,0.522817
0.005000,62.038135,-6.978007,0.044344,1.520377,33.786145,397.484056,0.522664
0.005000,62.045110,-6.973989,0.052393,1.699244,35.773565,397.484056,0.522494
0.005000,62.052882,-6.969514,0.061362,1.888049,37.760985,397.484056,0.522303
0.005000,62.061494,-6.964558,0.071299,2.086791,39.748406,397.484056,0.522092
0.005000,62.070991,-6.959095,0.082254,2.295470,41.735826,397.484056,0.521860
0.005000,62.081415,-6.953103,0.094278,2.514087,43.723246,397.484056,0.521604
0.005000,62.092811,-6.946556,0.107420,2.742640,45.710666,397.484056,0.521325
0.005000,62.105220,-6.939432,0.121729,2.981130,47.698087,397.484056,0.521022
0.005000,62.118688,-6.931705,0.137256,3.229558,49.685507,397.484056,0.520692
0.005000,62.133258,-6.923353,0.154050,3.487923,51.672927,397.484056,0.520336
0.005000,62.148973,-6.914352,0.172160,3.756224,53.660348,397.484056,0.519951
0.005000,62.165878,-6.904679,0.191637,4.034463,55.647768,397.484056,0.519537
0.005000,62.184016,-6.894310,0.212530,4.322639,57.635188,397.484056,0.519094
