dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,121.000000,-59.000000,0.000012,0.004989,0.997726,199.545240,3.141617
0.005000,121.000000,-59.000000,0.000062,0.014966,1.995452,199.545240,3.141616
0.005000,121.000000,-59.000000,0.000175,0.029932,2.993179,199.545240,3.141614
0.005000,121.000000,-59.000000,0.000374,0.049886,3.990905,199.545240,3.141610
0.005000,121.000000,-59.000000,0.000686,0.074829,4.988631,199.545240,3.141604
0.005000,121.000000,-59.000000,0.001135,0.104761,5.986357,199.545240,3.141596
0.005000,120.999541,-59.000000,0.001746,0.139682,6.984083,199.545240,3.141584
0.005000,120.998743,-59.000000,0.002544,0.179591,7.981810,199.545240,3.141569
0.005000,120.997732,-59.000000,0.003554,0.224488,8.979536,199.545240,3.141550
0.005000,120.996485,-59.000000,0.004802,0.274375,9.977262,199.545240,3.141526
0.005000,120.994976,-59.000000,0.006311,0.329250,10.974988,199.545240,3.141498
0.005000,120.993180,-59.000000,0.008107,0.389113,11.972714,199.545240,3.141464
0.005000,120.991073,-58.999999,0.010214,0.453965,12.970441,199.545240,3.141424
0.005000,120.988628,-58.999999,0.012659,0.523806,13.968167,199.545240,3.141377
0.005000,120.985822,-58.999998,0.015465,0.598636,14.965893,199.545240,3.141324
0.005000,120.982629,-58.999997,0.018657,0.678454,15.963619,199.545240,3.141264
0.005000,120.979025,-58.999996,0.022262,0.763261,16.961345,199.545240,3.141195
0.005000,120.974984,-58.999994,0.026303,0.853056,17.959072,199.545240,3.141119
0.005000,120.970482,-58.999992,0.030805,0.947840,18.956798,199.545240,3.141034
0.005000,120.965493,-58.999989,0.035793,1.047613,19.954524,199.545240,3.140939
0.005000,120.959994,-58.999985,0.041293,1.152374,20.952250,199.545240,3.140835
0.005000,120.953957,-58.999980,0.047330,1.262124,21.949976,199.545240,3.140720
0.005000,120.947360,-58.999974,0.053927,1.376862,22.947703,199.545240,3.140595
0.005000,120.940176,-58.999966,0.061111,1.496589,23.945429,199.545240,3.140459
0.005000,120.932381,-58.999957,0.068905,1.621305,24.943155,199.545240,3.140311
0.005000,120.923951,-58.999945,0.077336,1.751009,25.940881,199.545240,3.140151
0.005000,120.914859,-58.999931,0.086428,1.885703,26.938607,199.545240,3.139979
0.005000,120.905081,-58.999915,0.096206,2.025384,27.936334,199.545240,3.139793
0.005000,120.894593,-58.999895,0.106694,2.170054,28.934060,199.545240,3.139594
0.005000,120.883368,-58.999871,0.117919,2.319713,29.931786,199.545240,3.139380
0.005000,120.871383,-58.999843,0.129904,2.474361,30.929512,199.545240,3.139152
0.005000,120.858612,-58.999810,0.142675,2.633997,31.927238,199.545240,3.138909
