dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,94.000000,0.000000,0.000050,0.019817,3.963412,792.682309,3.141598
0.005000,94.000000,0.000000,0.000248,0.059451,7.926823,792.682309,3.141593
0.005000,93.999555,0.000000,0.000694,0.118902,11.890235,792.682309,3.141581
0.005000,93.998763,0.000000,0.001486,0.198171,15.853646,792.682309,3.141561
0.005000,93.997524,0.000000,0.002725,0.297256,19.817058,792.682309,3.141529
0.005000,93.995741,0.000000,0.004508,0.416158,23.780469,792.682309,3.141483
0.005000,93.993313,0.000001,0.006936,0.554878,27.743881,792.682309,3.141421
0.005000,93.990142,0.000001,0.010107,0.713414,31.707292,792.682309,3.141339
0.005000,93.986129,0.000002,0.014120,0.891768,35.670704,792.682309,3.141236
0.005000,93.981175,0.000005,0.019074,1.089938,39.634115,792.682309,3.141108
0.005000,93.975181,0.000008,0.025069,1.307926,43.597527,792.682309,3.140954
0.005000,93.968046,0.000013,0.032203,1.545731,47.560939,792.682309,3.140770
0.005000,93.959674,0.000021,0.040575,1.803352,51.524350,792.682309,3.140554
0.005000,93.949963,0.000032,0.050286,2.080791,55.487762,792.682309,3.140304
0.005000,93.938816,0.000048,0.061433,2.378047,59.451173,792.682309,3.140016
0.005000,93.926133,0.000070,0.074116,2.695120,63.414585,792.682309,3.139689
0.005000,93.911816,0.000100,0.088434,3.032010,67.377996,792.682309,3.139320
0.005000,93.895764,0.000140,0.104485,3.388717,71.341408,792.682309,3.138906
0.005000,93.877879,0.000192,0.122370,3.765241,75.304819,792.682309,3.138444
0.005000,93.858062,0.000260,0.142187,4.161582,79.268231,792.682309,3.137932
0.005000,93.836214,0.000346,0.164036,4.577740,83.231642,792.682309,3.137367
0.005000,93.812235,0.000455,0.188014,5.013716,87.195054,792.682309,3.136747
0.005000,93.786028,0.000590,0.214222,5.469508,91.158466,792.682309,3.136068
0.005000,93.757492,0.000759,0.242759,5.945117,95.121877,792.682309,3.135329
0.005000,93.726528,0.000965,0.273723,6.440544,99.085289,792.682309,3.134526
0.005000,93.693038,0.001216,0.307214,6.955787,103.048700,792.682309,3.133657
0.005000,93.656923,0.001520,0.343331,7.490848,107.012112,792.682309,3.132719
0.005000,93.618083,0.001884,0.382172,8.045725,110.975523,792.682309,3.131709
0.005000,93.576420,0.002318,0.423837,8.620420,114.938935,792.682309,3.130624
0.005000,93.531884,0.002833,0.468376,9.195115,114.938935,0.000000,3.129464
0.005000,93.484476,0.003437,0.515788,9.769809,114.938935,0.000000,3.128226
0.005000,93.434195,0.004142,0.566074,10.344504,114.938935,0.000000,3.126912
0.005000,93.381042,0.004960,0.619234,10.919199,114.938935,-0.000000,3.125521
0.005000,93.325017,0.005901,0.675266,11.493893,114.938935,0.000000,3.124053
0.005000,93.266121,0.006980,0.734172,12.068588,114.938935,-0.000000,3.122507
0.005000,93.204354,0.008209,0.795952,12.643283,114.938935,0.000000,3.120882
0.005000,93.139715,0.009603,0.860605,13.217978,114.938935,0.000000,3.119180
0.005000,93.072207,0.011176,0.928132,13.792672,114.938935,0.000000,3.117398
0.005000,93.001829,0.012945,0.998532,14.367367,114.938935,-0.000000,3.115537
0.005000,92.928582,0.014925,1.071806,14.942062,114.938935,0.000000,3.113597
0.005000,92.852467,0.017133,1.147953,15.516756,114.938935,0.000000,3.111576
0.005000,92.773485,0.019588,1.226973,16.091451,114.938935,-0.000000,3.109475
0.005000,92.691636,0.022307,1.308867,16.666146,114.938935,0.000000,3.107292
0.005000,92.606922,0.025310,1.393635,17.240840,114.938935,-0.000000,3.105029
0.005000,92.519344,0.028616,1.481276,17.815535,114.938935,0.000000,3.102683
0.005000,92.428902,0.032247,1.571790,18.390230,114.938935,0.000000,3.100255
0.005000,92.335599,0.036224,1.665178,18.964924,114.938935,0.000000,3.097743
0.005000,92.239436,0.040568,1.761439,19.539619,114.938935,-0.000000,3.095148
0.005000,92.140414,0.045303,1.860574,20.114314,114.938935,0.000000,3.092469
0.005000,92.038536,0.050453,1.962582,20.689008,114.938935,0.000000,3.089705
0.005000,91.933803,0.056042,2.067464,21.263703,114.938935,0.000000,3.086857
0.005000,91.826218,0.062095,2.175219,21.838398,114.938935,-0.000000,3.083922
0.005000,91.715783,0.068638,2.285848,22.413092,114.938935,0.000000,3.080901
0.005000,91.602501,0.075698,2.399350,22.987787,114.938935,0.000000,3.077792
0.005000,91.486374,0.083304,2.515726,23.562482,114.938935,-0.000000,3.074596
0.005000,91.367405,0.091482,2.634975,24.137176,114.938935,0.000000,3.071312
0.005000,91.245599,0.100263,2.757098,24.711871,114.938935,0.000000,3.067940
0.005000,91.120958,0.109677,2.882094,25.286566,114.938935,-0.000000,3.064477
0.005000,90.993486,0.119754,3.009963,25.861260,114.938935,0.000000,3.060925
0.005000,90.863188,0.130527,3.140706,26.435955,114.938935,0.000000,3.057282
0.005000,90.730067,0.142027,3.274323,27.010650,114.938935,-0.000000,3.053547
0.005000,90.594129,0.154289,3.410813,27.585344,114.938935,0.000000,3.049721
0.005000,90.455379,0.167346,3.550176,28.160039,114.938935,-0.000000,3.045801
0.005000,90.313822,0.181235,3.692413,28.734734,114.938935,0.000000,3.041789
0.005000,90.169463,0.195989,3.837524,29.309428,114.938935,-0.000000,3.037683
0.005000,90.022310,0.211648,3.985508,29.884123,114.938935,0.000000,3.033482
0.005000,89.872369,0.228247,4.136365,30.458818,114.938935,-0.000000,3.029186
0.005000,89.719647,0.245826,4.290096,31.033512,114.938935,0.000000,3.024794
0.005000,89.564151,0.264425,4.446700,31.608207,114.938935,0.000000,3.020306
0.005000,89.405889,0.284082,4.606178,32.182902,114.938935,-0.000000,3.015721
0.005000,89.244871,0.304840,4.768529,32.757596,114.938935,0.000000,3.011039
0.005000,89.081104,0.326741,4.933754,33.332291,114.938935,-0.000000,3.006259
0.005000,88.914599,0.349827,5.101852,33.906986,114.938935,0.000000,3.001379
0.005000,88.745365,0.374142,5.272824,34.481680,114.938935,-0.000000,2.996401
0.005000,88.573414,0.399731,5.446669,35.056375,114.938935,0.000000,2.991323
0.005000,88.398756,0.426639,5.623387,35.631070,114.938935,-0.000000,2.986145
0.005000,88.221404,0.454911,5.802979,36.205764,114.938935,0.000000,2.980866
0.005000,88.041369,0.484596,5.985445,36.780459,114.938935,-0.000000,2.975487
0.005000,87.858715,0.515733,6.170735,37.335337,110.975523,-792.682309,2.970007
0.005000,87.673552,0.548352,6.358749,37.870397,107.012112,-792.682309,2.964430
0.005000,87.485992,0.582481,6.549389,38.385641,103.048700,-792.682309,2.958758
0.005000,87.296147,0.618149,6.742556,38.881067,99.085289,-792.682309,2.952995
0.005000,87.104129,0.655382,6.938150,39.356677,95.121877,-792.682309,2.947142
0.005000,86.910051,0.694202,7.136073,39.812469,91.158466,-792.682309,2.941203
0.005000,86.714025,0.734633,7.336225,40.248444,87.195054,-792.682309,2.935180
0.005000,86.516164,0.776694,7.538508,40.664602,83.231642,-792.682309,2.929078
0.005000,86.316581,0.820404,7.742822,41.060944,79.268231,-792.682309,2.922898
0.005000,86.115389,0.865779,7.949068,41.437468,75.304819,-792.682309,2.916644
0.005000,85.912700,0.912834,8.157147,41.794175,71.341408,-792.682309,2.910320
0.005000,85.708628,0.961578,8.366960,42.131065,67.377996,-792.682309,2.903928
0.005000,85.503286,1.012023,8.578408,42.448138,63.414585,-792.682309,2.897472
0.005000,85.296786,1.064175,8.791392,42.745394,59.451173,-792.682309,2.890955
0.005000,85.089242,1.118038,9.005812,43.022832,55.487762,-792.682309,2.884382
0.005000,84.880764,1.173614,9.221571,43.280454,51.524350,-792.682309,2.877755
0.005000,84.671467,1.230903,9.438567,43.518259,47.560939,-792.682309,2.871079
0.005000,84.461461,1.289900,9.656704,43.736246,43.597527,-792.682309,2.864356
0.005000,84.250858,1.350601,9.875880,43.934417,39.634115,-792.682309,2.857592
0.005000,84.039769,1.412996,10.095998,44.112771,35.670704,-792.682309,2.850789
