dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,94.500000,1.000000,0.000049,0.019495,3.898911,779.782226,3.141591
0.005000,94.500000,1.000000,0.000244,0.058484,7.797822,779.782226,3.141592
0.005000,94.499620,1.000000,0.000682,0.116967,11.696733,779.782226,3.141595
0.005000,94.498840,1.000000,0.001462,0.194946,15.595645,779.782226,3.141599
0.005000,94.497622,1.000000,0.002681,0.292418,19.494556,779.782226,3.141605
0.005000,94.495867,1.000000,0.004435,0.409386,23.393467,779.782226,3.141614
0.005000,94.493479,1.000000,0.006823,0.545848,27.292378,779.782226,3.141627
0.005000,94.490360,1.000000,0.009942,0.701804,31.191289,779.782226,3.141643
0.005000,94.486413,1.000000,0.013890,0.877255,35.090200,779.782226,3.141664
0.005000,94.481539,0.999999,0.018764,1.072201,38.989111,779.782226,3.141690
0.005000,94.475642,0.999998,0.024661,1.286641,42.888022,779.782226,3.141721
0.005000,94.468624,0.999997,0.031679,1.520575,46.786934,779.782226,3.141758
0.005000,94.460387,0.999996,0.039915,1.774005,50.685845,779.782226,3.141801
0.005000,94.450835,0.999994,0.049467,2.046928,54.584756,779.782226,3.141852
0.005000,94.439869,0.999990,0.060433,2.339347,58.483667,779.782226,3.141910
0.005000,94.427393,0.999986,0.072910,2.651260,62.382578,779.782226,3.141976
0.005000,94.413308,0.999980,0.086994,2.982667,66.281489,779.782226,3.142051
0.005000,94.397517,0.999972,0.102785,3.333569,70.180400,779.782226,3.142135
0.005000,94.379924,0.999962,0.120379,3.703966,74.079311,779.782226,3.142229
0.005000,94.360429,0.999948,0.139873,4.093857,77.978223,779.782226,3.142334
0.005000,94.338936,0.999931,0.161366,4.503242,81.877134,779.782226,3.142449
0.005000,94.315348,0.999910,0.184955,4.932123,85.776045,779.782226,3.142577
0.005000,94.289566,0.999882,0.210736,5.380497,89.674956,779.782226,3.142716
0.005000,94.261494,0.999849,0.238808,5.848367,93.573867,779.782226,3.142869
0.005000,94.231034,0.999807,0.269269,6.335731,97.472778,779.782226,3.143035
0.005000,94.198088,0.999757,0.302214,6.842589,101.371689,779.782226,3.143216
0.005000,94.162559,0.999696,0.337743,7.368942,105.270601,779.782226,3.143412
0.005000,94.124350,0.999622,0.375953,7.914790,109.169512,779.782226,3.143623
0.005000,94.083363,0.999534,0.416940,8.480132,113.068423,779.782226,3.143852
0.005000,94.039500,0.999430,0.460803,9.064968,116.967334,779.782226,3.144098
0.005000,93.992665,0.999306,0.507638,9.669300,120.866245,779.782226,3.144362
0.005000,93.942759,0.999161,0.557544,10.293125,124.765156,779.782226,3.144645
0.005000,93.889685,0.998991,0.610618,10.936446,128.664067,779.782226,3.144949
0.005000,93.833395,0.998793,0.666909,11.579766,128.664067,-0.000000,3.145274
0.005000,93.773888,0.998564,0.726416,12.223086,128.664067,0.000000,3.145620
0.005000,93.711165,0.998299,0.789140,12.866407,128.664067,-0.000000,3.145987
0.005000,93.645226,0.997997,0.855080,13.509727,128.664067,0.000000,3.146377
0.005000,93.576070,0.997652,0.924237,14.153047,128.664067,-0.000000,3.146790
0.005000,93.503697,0.997260,0.996610,14.796368,128.664067,-0.000000,3.147226
0.005000,93.428108,0.996817,1.072201,15.439688,128.664067,0.000000,3.147686
0.005000,93.349303,0.996317,1.151007,16.083008,128.664067,0.000000,3.148170
0.005000,93.267282,0.995757,1.233031,16.726329,128.664067,0.000000,3.148680
0.005000,93.182044,0.995130,1.318271,17.369649,128.664067,-0.000000,3.149215
0.005000,93.093590,0.994431,1.406727,18.012969,128.664067,0.000000,3.149777
0.005000,93.001920,0.993654,1.498400,18.656290,128.664067,0.000000,3.150366
