dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,108.000000,162.000000,0.000007,0.002987,0.597495,119.498980,2.443469
0.005000,108.000000,162.000000,0.000037,0.008962,1.194990,119.498980,2.443468
0.005000,108.000000,162.000000,0.000105,0.017925,1.792485,119.498980,2.443465
0.005000,107.999996,162.000003,0.000224,0.029875,2.389980,119.498980,2.443461
0.005000,107.999853,162.000123,0.000411,0.044812,2.987475,119.498980,2.443453
0.005000,107.999647,162.000296,0.000680,0.062737,3.584969,119.498980,2.443443
0.005000,107.999367,162.000531,0.001046,0.083649,4.182464,119.498980,2.443429
0.005000,107.999001,162.000838,0.001524,0.107549,4.779959,119.498980,2.443410
0.005000,107.998537,162.001227,0.002129,0.134436,5.377454,119.498980,2.443386
0.005000,107.997965,162.001707,0.002875,0.164311,5.974949,119.498980,2.443357
0.005000,107.997273,162.002288,0.003779,0.197173,6.572444,119.498980,2.443321
0.005000,107.996449,162.002980,0.004855,0.233023,7.169939,119.498980,2.443279
0.005000,107.995483,162.003791,0.006117,0.271860,7.767434,119.498980,2.443230
0.005000,107.994361,162.004733,0.007581,0.313685,8.364929,119.498980,2.443172
0.005000,107.993075,162.005813,0.009261,0.358497,8.962424,119.498980,2.443106
0.005000,107.991610,162.007043,0.011173,0.406297,9.559918,119.498980,2.443031
0.005000,107.989958,162.008431,0.013332,0.457084,10.157413,119.498980,2.442946
0.005000,107.988105,162.009988,0.015751,0.510858,10.754908,119.498980,2.442851
0.005000,107.986040,162.011722,0.018448,0.567620,11.352403,119.498980,2.442746
0.005000,107.983753,162.013644,0.021435,0.627370,11.949898,119.498980,2.442628
0.005000,107.981232,162.015763,0.024729,0.690107,12.547393,119.498980,2.442499
0.005000,107.978465,162.018090,0.028344,0.755831,13.144888,119.498980,2.442357
0.005000,107.975442,162.020633,0.032295,0.824543,13.742383,119.498980,2.442202
0.005000,107.972150,162.023403,0.036597,0.896242,14.339878,119.498980,2.442033
0.005000,107.968579,162.026409,0.041264,0.970929,14.937373,119.498980,2.441849
0.005000,107.964717,162.029661,0.046313,1.048604,15.534867,119.498980,2.441651
0.005000,107.960553,162.033168,0.051758,1.129265,16.132362,119.498980,2.441437
0.005000,107.956075,162.036942,0.057613,1.212915,16.729857,119.498980,2.441206
0.005000,107.951273,162.040991,0.063895,1.299551,17.327352,119.498980,2.440959
0.005000,107.946135,162.045325,0.070616,1.389176,17.924847,119.498980,2.440695
0.005000,107.940650,162.049954,0.077794,1.481787,18.522342,119.498980,2.440412
0.005000,107.934808,162.054889,0.085442,1.577387,19.119837,119.498980,2.440111
0.005000,107.928595,162.060139,0.093575,1.675973,19.717332,119.498980,2.439791
0.005000,107.922003,162.065714,0.102209,1.777547,20.314827,119.498980,2.439451
0.005000,107.915019,162.071624,0.111358,1.882109,20.912322,119.498980,2.439090
0.005000,107.907633,162.077880,0.121038,1.989658,21.509816,119.498980,2.438708
