dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,95.000000,138.000000,0.000012,0.004974,0.994814,198.962726,4.450586
0.005000,95.000000,138.000000,0.000062,0.014922,1.989627,198.962726,4.450588
0.005000,94.999979,137.999920,0.000174,0.029844,2.984441,198.962726,4.450593
0.005000,94.999927,137.999728,0.000373,0.049741,3.979255,198.962726,4.450601
0.005000,94.999847,137.999428,0.000684,0.074611,4.974068,198.962726,4.450614
0.005000,94.999731,137.998995,0.001132,0.104455,5.968882,198.962726,4.450633
0.005000,94.999573,137.998407,0.001741,0.139274,6.963695,198.962726,4.450658
0.005000,94.999367,137.997638,0.002537,0.179066,7.958509,198.962726,4.450691
0.005000,94.999107,137.996665,0.003544,0.223833,8.953323,198.962726,4.450732
0.005000,94.998785,137.995464,0.004788,0.273574,9.948136,198.962726,4.450783
0.005000,94.998396,137.994010,0.006292,0.328288,10.942950,198.962726,4.450846
0.005000,94.997933,137.992281,0.008083,0.387977,11.937764,198.962726,4.450919
0.005000,94.997390,137.990251,0.010184,0.452640,12.932577,198.962726,4.451006
0.005000,94.996760,137.987896,0.012622,0.522277,13.927391,198.962726,4.451107
0.005000,94.996038,137.985193,0.015420,0.596888,14.922204,198.962726,4.451222
0.005000,94.995216,137.982118,0.018603,0.676473,15.917018,198.962726,4.451354
0.005000,94.994288,137.978645,0.022197,0.761032,16.911832,198.962726,4.451502
0.005000,94.993250,137.974753,0.026226,0.850566,17.906645,198.962726,4.451668
0.005000,94.992093,137.970415,0.030715,0.945073,18.901459,198.962726,4.451853
0.005000,94.990812,137.965609,0.035689,1.044554,19.896273,198.962726,4.452058
0.005000,94.989401,137.960310,0.041173,1.149010,20.891086,198.962726,4.452284
0.005000,94.987854,137.954493,0.047191,1.258439,21.885900,198.962726,4.452532
0.005000,94.986165,137.948136,0.053770,1.372843,22.880714,198.962726,4.452803
0.005000,94.984327,137.941213,0.060932,1.492220,23.875527,198.962726,4.453098
0.005000,94.982336,137.933700,0.068704,1.616572,24.870341,198.962726,4.453418
0.005000,94.980184,137.925574,0.077110,1.745898,25.865154,198.962726,4.453764
0.005000,94.977867,137.916810,0.086176,1.880198,26.859968,198.962726,4.454136
0.005000,94.975379,137.907383,0.095925,2.019472,27.854782,198.962726,4.454537
0.005000,94.972715,137.897271,0.106383,2.163720,28.849595,198.962726,4.454967
0.005000,94.969868,137.886447,0.117575,2.312942,29.844409,198.962726,4.455426
0.005000,94.966834,137.874888,0.129525,2.467138,30.839223,198.962726,4.455916
0.005000,94.963607,137.862571,0.142258,2.626308,31.834036,198.962726,4.456438
0.005000,94.960182,137.849469,0.155800,2.790452,32.828850,198.962726,4.456993
0.005000,94.956555,137.835559,0.170175,2.959571,33.823663,198.962726,4.457582
0.005000,94.952720,137.820817,0.185408,3.133663,34.818477,198.962726,4.458205
0.005000,94.948672,137.805217,0.201524,3.312729,35.813291,198.962726,4.458864
0.005000,94.944408,137.788736,0.218548,3.496770,36.808104,198.962726,4.459559
0.005000,94.939923,137.771349,0.236505,3.685785,37.802918,198.962726,4.460292
0.005000,94.935212,137.753031,0.255418,3.879773,38.797732,198.962726,4.461063
0.005000,94.930272,137.733758,0.275315,4.078736,39.792545,198.962726,4.461873
0.005000,94.925099,137.713505,0.296218,4.282673,40.787359,198.962726,4.462723
0.005000,94.919688,137.692247,0.318154,4.491584,41.782172,198.962726,4.463615
0.005000,94.914037,137.669959,0.341146,4.705468,42.776986,198.962726,4.464548
0.005000,94.908143,137.646617,0.365221,4.924327,43.771800,198.962726,4.465523
0.005000,94.902002,137.622196,0.390402,5.148161,44.766613,198.962726,4.466542
0.005000,94.895612,137.596671,0.416715,5.376968,45.761427,198.962726,4.467606
0.005000,94.888969,137.570017,0.444184,5.610749,46.756241,198.962726,4.468714
0.005000,94.882073,137.542209,0.472835,5.849504,47.751054,198.962726,4.469869
0.005000,94.874920,137.513222,0.502692,6.093233,48.745868,198.962726,4.471070
0.005000,94.867509,137.483030,0.533780,6.341937,49.740682,198.962726,4.472318
0.005000,94.859839,137.451609,0.566124,6.595614,50.735495,198.962726,4.473614
0.005000,94.851909,137.418933,0.599748,6.854266,51.730309,198.962726,4.474960
0.005000,94.843717,137.384976,0.634679,7.117892,52.725122,198.962726,4.476354
0.005000,94.835263,137.349715,0.670940,7.386491,53.719936,198.962726,4.477799
0.005000,94.826546,137.313122,0.708556,7.660065,54.714750,198.962726,4.479295
0.005000,94.817568,137.275173,0.747553,7.938613,55.709563,198.962726,4.480842
0.005000,94.808328,137.235842,0.787955,8.222135,56.704377,198.962726,4.482441
0.005000,94.798827,137.195103,0.829786,8.510631,57.699191,198.962726,4.484092
0.005000,94.789066,137.152931,0.873073,8.804101,58.694004,198.962726,4.485797
0.005000,94.779047,137.109300,0.917840,9.102545,59.688818,198.962726,4.487555
0.005000,94.768772,137.064184,0.964111,9.405963,60.683631,198.962726,4.489367
0.005000,94.758243,137.017558,1.011912,9.714355,61.678445,198.962726,4.491233
0.005000,94.747463,136.969394,1.061267,10.027721,62.673259,198.962726,4.493155
0.005000,94.736435,136.919668,1.112202,10.346062,63.668072,198.962726,4.495132
0.005000,94.725162,136.868353,1.164740,10.669376,64.662886,198.962726,4.497164
0.005000,94.713649,136.815423,1.218908,10.997665,65.657700,198.962726,4.499252
0.005000,94.701900,136.760852,1.274729,11.330927,66.652513,198.962726,4.501396
0.005000,94.689919,136.704614,1.332230,11.669164,67.647327,198.962726,4.503596
0.005000,94.677713,136.646682,1.391433,12.012375,68.642141,198.962726,4.505853
0.005000,94.665287,136.587030,1.452366,12.360559,69.636954,198.962726,4.508167
0.005000,94.652647,136.525632,1.515051,12.713718,70.631768,198.962726,4.510537
0.005000,94.639799,136.462461,1.579515,13.071851,71.626581,198.962726,4.512964
0.005000,94.626752,136.397491,1.645782,13.434958,72.621395,198.962726,4.515447
0.005000,94.613513,136.330696,1.713877,13.803039,73.616209,198.962726,4.517987
0.005000,94.600089,136.262048,1.783825,14.176094,74.611022,198.962726,4.520584
0.005000,94.586491,136.191522,1.855651,14.554123,75.605836,198.962726,4.523237
0.005000,94.572726,136.119090,1.929379,14.937127,76.600650,198.962726,4.525945
0.005000,94.558805,136.044726,2.005034,15.325104,77.595463,198.962726,4.528710
0.005000,94.544738,135.968404,2.082642,15.718055,78.590277,198.962726,4.531530
0.005000,94.530535,135.890096,2.162227,16.115981,79.585090,198.962726,4.534404
0.005000,94.516208,135.809777,2.243815,16.518880,80.579904,198.962726,4.537334
0.005000,94.501769,135.727419,2.327429,16.926754,81.574718,198.962726,4.540317
0.005000,94.487229,135.642996,2.413095,17.339602,82.569531,198.962726,4.543353
0.005000,94.472602,135.556481,2.500837,17.757423,83.564345,198.962726,4.546441
0.005000,94.457900,135.467848,2.590681,18.180219,84.559159,198.962726,4.549582
0.005000,94.443138,135.377070,2.682652,18.607989,85.553972,198.962726,4.552773
0.005000,94.428329,135.284121,2.776774,19.040733,86.548786,198.962726,4.556014
0.005000,94.413488,135.188973,2.873072,19.478451,87.543600,198.962726,4.559304
0.005000,94.398631,135.091601,2.971570,19.921143,88.538413,198.962726,4.562642
0.005000,94.383773,134.991978,3.072295,20.368809,89.533227,198.962726,4.566027
0.005000,94.368930,134.890078,3.175271,20.821449,90.528040,198.962726,4.569456
0.005000,94.354119,134.785874,3.280522,21.279064,91.522854,198.962726,4.572930
0.005000,94.339356,134.679341,3.388074,21.741652,92.517668,198.962726,4.576447
0.005000,94.324659,134.570451,3.497951,22.209214,93.512481,198.962726,4.580004
0.005000,94.310045,134.459179,3.610179,22.681751,94.507295,198.962726,4.583601
0.005000,94.295535,134.345511,3.724769,23.154287,94.507295,0.000000,4.587235
0.005000,94.281149,134.229447,3.841722,23.626824,94.507295,-0.000000,4.590904
0.005000,94.266910,134.110984,3.961037,24.099360,94.507295,0.000000,4.594605
0.005000,94.252837,133.990123,4.082715,24.571897,94.507295,0.000000,4.598335
