dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,23.000000,156.000000,0.000012,0.004997,0.999485,199.896914,6.283159
0.005000,23.000000,156.000000,0.000062,0.014992,1.998969,199.896914,6.283160
0.005000,23.000000,156.000000,0.000175,0.029985,2.998454,199.896914,6.283162
0.005000,23.000000,156.000000,0.000375,0.049974,3.997938,199.896914,6.283166
0.005000,23.000000,156.000000,0.000687,0.074961,4.997423,199.896914,6.283172
0.005000,23.000000,156.000000,0.001137,0.104946,5.996907,199.896914,6.283180
0.005000,23.000352,156.000000,0.001749,0.139928,6.996392,199.896914,0.000007
0.005000,23.001152,156.000000,0.002549,0.179907,7.995877,199.896914,0.000022
0.005000,23.002164,156.000000,0.003561,0.224884,8.995361,199.896914,0.000041
0.005000,23.003413,156.000000,0.004810,0.274858,9.994846,199.896914,0.000065
0.005000,23.004925,156.000000,0.006322,0.329830,10.994330,199.896914,0.000094
0.005000,23.006724,156.000000,0.008121,0.389799,11.993815,199.896914,0.000128
0.005000,23.008835,156.000001,0.010232,0.454765,12.993299,199.896914,0.000168
0.005000,23.011284,156.000001,0.012681,0.524729,13.992784,199.896914,0.000215
0.005000,23.014095,156.000002,0.015492,0.599691,14.992269,199.896914,0.000269
0.005000,23.017294,156.000003,0.018690,0.679650,15.991753,199.896914,0.000330
0.005000,23.020904,156.000004,0.022301,0.764606,16.991238,199.896914,0.000399
0.005000,23.024952,156.000006,0.026349,0.854559,17.990722,199.896914,0.000476
0.005000,23.029462,156.000008,0.030859,0.949510,18.990207,199.896914,0.000562
0.005000,23.034460,156.000011,0.035857,1.049459,19.989691,199.896914,0.000657
0.005000,23.039969,156.000015,0.041366,1.154405,20.989176,199.896914,0.000762
0.005000,23.046016,156.000020,0.047413,1.264348,21.988660,199.896914,0.000878
0.005000,23.052625,156.000026,0.054022,1.379289,22.988145,199.896914,0.001004
0.005000,23.059822,156.000034,0.061218,1.499227,23.987630,199.896914,0.001141
0.005000,23.067630,156.000044,0.069027,1.624162,24.987114,199.896914,0.001290
0.005000,23.076076,156.000055,0.077473,1.754095,25.986599,199.896914,0.001452
0.005000,23.085183,156.000069,0.086580,1.889026,26.986083,199.896914,0.001625
0.005000,23.094978,156.000086,0.096375,2.028954,27.985568,199.896914,0.001813
0.005000,23.105485,156.000106,0.106882,2.173879,28.985052,199.896914,0.002013
0.005000,23.116730,156.000130,0.118127,2.323802,29.984537,199.896914,0.002228
0.005000,23.128736,156.000158,0.130133,2.478722,30.984022,199.896914,0.002458
0.005000,23.141529,156.000191,0.142926,2.638639,31.983506,199.896914,0.002702
0.005000,23.155135,156.000230,0.156532,2.803554,32.982991,199.896914,0.002962
0.005000,23.169577,156.000274,0.170974,2.973467,33.982475,199.896914,0.003239
0.005000,23.184882,156.000326,0.186279,3.148376,34.981960,199.896914,0.003531
0.005000,23.201073,156.000386,0.202471,3.328284,35.981444,199.896914,0.003841
0.005000,23.218177,156.000454,0.219574,3.513188,36.980929,199.896914,0.004169
0.005000,23.236217,156.000533,0.237615,3.703090,37.980414,199.896914,0.004514
0.005000,23.255220,156.000622,0.256618,3.897990,38.979898,199.896914,0.004878
0.005000,23.275209,156.000723,0.276607,4.097887,39.979383,199.896914,0.005262
0.005000,23.296211,156.000838,0.297609,4.302781,40.978867,199.896914,0.005664
0.005000,23.318249,156.000968,0.319648,4.512673,41.978352,199.896914,0.006087
0.005000,23.341349,156.001113,0.342748,4.727562,42.977836,199.896914,0.006530
0.005000,23.365536,156.001277,0.366936,4.947449,43.977321,199.896914,0.006995
0.005000,23.390835,156.001460,0.392235,5.172333,44.976806,199.896914,0.007481
0.005000,23.417270,156.001664,0.418672,5.402214,45.976290,199.896914,0.007989
0.005000,23.444868,156.001892,0.446270,5.637093,46.975775,199.896914,0.008520
0.005000,23.473652,156.002145,0.475055,5.876969,47.975259,199.896914,0.009074
0.005000,23.503647,156.002426,0.505052,6.121843,48.974744,199.896914,0.009651
0.005000,23.534880,156.002737,0.536286,6.371714,49.974228,199.896914,0.010253
0.005000,23.567374,156.003081,0.568782,6.626583,50.973713,199.896914,0.010879
0.005000,23.601154,156.003459,0.602564,6.886449,51.973198,199.896914,0.011531
0.005000,23.636246,156.003876,0.637659,7.151312,52.972682,199.896914,0.012209
0.005000,23.672674,156.004333,0.674090,7.421173,53.972167,199.896914,0.012912
0.005000,23.710464,156.004835,0.711883,7.696031,54.971651,199.896914,0.013643
0.005000,23.749640,156.005384,0.751063,7.975887,55.971136,199.896914,0.014401
0.005000,23.790227,156.005985,0.791654,8.260740,56.970620,199.896914,0.015187
0.005000,23.832250,156.006640,0.833683,8.550590,57.970105,199.896914,0.016001
0.005000,23.875735,156.007354,0.877173,8.845438,58.969590,199.896914,0.016844
0.005000,23.920705,156.008132,0.922149,9.145284,59.969074,199.896914,0.017717
0.005000,23.967185,156.008976,0.968638,9.450127,60.968559,199.896914,0.018621
0.005000,24.015202,156.009893,1.016663,9.759967,61.968043,199.896914,0.019554
0.005000,24.064779,156.010886,1.066250,10.074804,62.967528,199.896914,0.020519
0.005000,24.115941,156.011962,1.117424,10.394640,63.967012,199.896914,0.021516
0.005000,24.168714,156.013125,1.170209,10.719472,64.966497,199.896914,0.022546
0.005000,24.223121,156.014380,1.224631,11.049302,65.965981,199.896914,0.023608
0.005000,24.279188,156.015735,1.280715,11.384129,66.965466,199.896914,0.024704
0.005000,24.336940,156.017195,1.338485,11.723954,67.964951,199.896914,0.025834
0.005000,24.396401,156.018766,1.397967,12.068776,68.964435,199.896914,0.026999
0.005000,24.457596,156.020455,1.459185,12.418596,69.963920,199.896914,0.028199
0.005000,24.520550,156.022270,1.522165,12.773413,70.963404,199.896914,0.029435
0.005000,24.585288,156.024217,1.586932,13.133227,71.962889,199.896914,0.030708
0.005000,24.651833,156.026305,1.653510,13.498039,72.962373,199.896914,0.032018
0.005000,24.720211,156.028541,1.721925,13.867848,73.961858,199.896914,0.033366
0.005000,24.790447,156.030934,1.792201,14.242655,74.961343,199.896914,0.034752
0.005000,24.862551,156.033492,1.864351,14.617462,74.961343,-0.000000,0.036177
0.005000,24.936525,156.036224,1.938375,14.992269,74.961343,0.000000,0.037641
0.005000,25.012368,156.039137,2.014274,15.367075,74.961343,0.000000,0.039144
0.005000,25.090078,156.042240,2.092046,15.741882,74.961343,0.000000,0.040686
0.005000,25.169656,156.045543,2.171693,16.116689,74.961343,0.000000,0.042268
0.005000,25.251101,156.049054,2.253213,16.491495,74.961343,-0.000000,0.043889
0.005000,25.334412,156.052782,2.336608,16.866302,74.961343,0.000000,0.045550
0.005000,25.419589,156.056737,2.421876,17.241109,74.961343,0.000000,0.047251
0.005000,25.506631,156.060929,2.509019,17.615916,74.961343,-0.000000,0.048991
0.005000,25.595536,156.065367,2.598035,17.990722,74.961343,0.000000,0.050772
0.005000,25.686306,156.070062,2.688926,18.365529,74.961343,-0.000000,0.052593
0.005000,25.778937,156.075025,2.781690,18.740336,74.961343,0.000000,0.054455
0.005000,25.873431,156.080266,2.876329,19.115142,74.961343,0.000000,0.056357
0.005000,25.969785,156.085796,2.972842,19.489949,74.961343,-0.000000,0.058300
0.005000,26.067999,156.091626,3.071229,19.864756,74.961343,0.000000,0.060284
0.005000,26.168071,156.097768,3.171489,20.239562,74.961343,0.000000,0.062309
0.005000,26.270001,156.104233,3.273624,20.614369,74.961343,-0.000000,0.064375
0.005000,26.373788,156.111033,3.377633,20.989176,74.961343,0.000000,0.066483
0.005000,26.479429,156.118181,3.483516,21.363983,74.961343,-0.000000,0.068632
0.005000,26.586924,156.125689,3.591273,21.738789,74.961343,0.000000,0.070823
0.005000,26.696271,156.133569,3.700904,22.113596,74.961343,0.000000,0.073056
0.005000,26.807470,156.141834,3.812409,22.488403,74.961343,0.000000,0.075331
0.005000,26.920517,156.150498,3.925788,22.863209,74.961343,-0.000000,0.077649
0.005000,27.035412,156.159574,4.041041,23.238016,74.961343,0.000000,0.080008
0.005000,27.152153,156.169075,4.158168,23.612823,74.961343,0.000000,0.082411
0.005000,27.270739,156.179016,4.277169,23.987630,74.961343,0.000000,0.084855
0.005000,27.391166,156.189410,4.398044,24.362436,74.961343,-0.000000,0.087343
0.005000,27.513434,156.200272,4.520794,24.737243,74.961343,0.000000,0.089874
0.005000,27.637539,156.211617,4.645417,25.112050,74.961343,0.000000,0.092448
0.005000,27.763481,156.223460,4.771914,25.486856,74.961343,-0.000000,0.095065
0.005000,27.891256,156.235815,4.900285,25.861663,74.961343,0.000000,0.097726
0.005000,28.020863,156.248699,5.030531,26.236470,74.961343,0.000000,0.100431
0.005000,28.152298,156.262126,5.162650,26.611277,74.961343,-0.000000,0.103179
0.005000,28.285559,156.276112,5.296644,26.986083,74.961343,0.000000,0.105971
0.005000,28.420644,156.290675,5.432511,27.360890,74.961343,0.000000,0.108807
0.005000,28.557549,156.305830,5.570252,27.735697,74.961343,-0.000000,0.111687
0.005000,28.696272,156.321593,5.709868,28.110503,74.961343,0.000000,0.114612
0.005000,28.836809,156.337983,5.851357,28.485310,74.961343,0.000000,0.117581
0.005000,28.979157,156.355015,5.994721,28.860117,74.961343,-0.000000,0.120594
0.005000,29.123313,156.372708,6.139959,29.234924,74.961343,0.000000,0.123652
0.005000,29.269273,156.391079,6.287070,29.609730,74.961343,0.000000,0.126755
0.005000,29.417034,156.410146,6.436056,29.984537,74.961343,-0.000000,0.129903
0.005000,29.566591,156.429926,6.586916,30.359344,74.961343,0.000000,0.133095
0.005000,29.717941,156.450440,6.739649,30.734150,74.961343,-0.000000,0.136333
0.005000,29.871079,156.471704,6.894257,31.108957,74.961343,0.000000,0.139616
0.005000,30.026002,156.493738,7.050739,31.483764,74.961343,0.000000,0.142943
0.005000,30.182704,156.516561,7.209095,31.858571,74.961343,0.000000,0.146316
0.005000,30.341182,156.540192,7.369325,32.233377,74.961343,0.000000,0.149734
0.005000,30.501430,156.564652,7.531429,32.608184,74.961343,-0.000000,0.153197
0.005000,30.663443,156.589959,7.695406,32.982991,74.961343,0.000000,0.156706
0.005000,30.827216,156.616133,7.861258,33.357797,74.961343,0.000000,0.160260
0.005000,30.992744,156.643196,8.028984,33.732604,74.961343,-0.000000,0.163859
0.005000,31.160022,156.671167,8.198585,34.107411,74.961343,0.000000,0.167503
0.005000,31.329043,156.700067,8.370059,34.482218,74.961343,0.000000,0.171193
0.005000,31.499802,156.729917,8.543407,34.857024,74.961343,-0.000000,0.174928
0.005000,31.672292,156.760739,8.718629,35.231831,74.961343,0.000000,0.178708
0.005000,31.846507,156.792552,8.895725,35.606638,74.961343,0.000000,0.182533
0.005000,32.022440,156.825379,9.074695,35.981444,74.961343,0.000000,0.186403
0.005000,32.200086,156.859242,9.255539,36.356251,74.961343,-0.000000,0.190318
0.005000,32.379436,156.894162,9.438258,36.731058,74.961343,0.000000,0.194278
0.005000,32.560484,156.930162,9.622850,37.105865,74.961343,0.000000,0.198283
0.005000,32.743222,156.967263,9.809316,37.480671,74.961343,-0.000000,0.202332
0.005000,32.927642,157.005489,9.997657,37.855478,74.961343,0.000000,0.206426
0.005000,33.113737,157.044860,10.187871,38.230285,74.961343,0.000000,0.210563
0.005000,33.301499,157.085402,10.379960,38.605091,74.961343,-0.000000,0.214745
0.005000,33.490918,157.127135,10.573922,38.979898,74.961343,0.000000,0.218971
0.005000,33.681987,157.170083,10.769759,39.354705,74.961343,0.000000,0.223240
0.005000,33.874696,157.214270,10.967469,39.729512,74.961343,-0.000000,0.227552
0.005000,34.069037,157.259718,11.167054,40.104318,74.961343,0.000000,0.231908
0.005000,34.265000,157.306452,11.368512,40.479125,74.961343,0.000000,0.236306
0.005000,34.462576,157.354493,11.571845,40.853932,74.961343,-0.000000,0.240747
0.005000,34.661754,157.403867,11.777052,41.228738,74.961343,0.000000,0.245230
0.005000,34.862525,157.454596,11.984132,41.603545,74.961343,0.000000,0.249754
0.005000,35.064878,157.506704,12.193087,41.978352,74.961343,-0.000000,0.254320
0.005000,35.268802,157.560216,12.403916,42.353159,74.961343,-0.000000,0.258927
0.005000,35.474287,157.615155,12.616619,42.727965,74.961343,0.000000,0.263574
0.005000,35.681322,157.671544,12.831195,43.102772,74.961343,-0.000000,0.268261
0.005000,35.889895,157.729409,13.047646,43.477579,74.961343,0.000000,0.272988
0.005000,36.099994,157.788772,13.265971,43.852385,74.961343,0.000000,0.277754
0.005000,36.311608,157.849659,13.486170,44.227192,74.961343,-0.000000,0.282559
0.005000,36.524723,157.912092,13.708243,44.601999,74.961343,0.000000,0.287401
0.005000,36.739329,157.976096,13.932190,44.976806,74.961343,0.000000,0.292281
0.005000,36.955412,158.041695,14.158011,45.351612,74.961343,-0.000000,0.297197
0.005000,37.172959,158.108912,14.385706,45.726419,74.961343,0.000000,0.302150
0.005000,37.391957,158.177773,14.615275,46.101226,74.961343,0.000000,0.307138
0.005000,37.612393,158.248299,14.846719,46.476032,74.961343,-0.000000,0.312161
0.005000,37.834252,158.320516,15.080036,46.850839,74.961343,0.000000,0.317218
0.005000,38.057521,158.394446,15.315227,47.225646,74.961343,-0.000000,0.322309
0.005000,38.282186,158.470114,15.552292,47.600453,74.961343,0.000000,0.327431
0.005000,38.508231,158.547543,15.791231,47.975259,74.961343,0.000000,0.332586
0.005000,38.735644,158.626756,16.032045,48.350066,74.961343,-0.000000,0.337772
0.005000,38.964407,158.707776,16.274732,48.724873,74.961343,0.000000,0.342987
0.005000,39.194507,158.790626,16.519294,49.099679,74.961343,0.000000,0.348232
0.005000,39.425928,158.875329,16.765729,49.474486,74.961343,-0.000000,0.353505
0.005000,39.658654,158.961908,17.014038,49.849293,74.961343,0.000000,0.358805
0.005000,39.892670,159.050385,17.264222,50.224100,74.961343,0.000000,0.364132
0.005000,40.127960,159.140783,17.516279,50.598906,74.961343,-0.000000,0.369484
0.005000,40.364506,159.233123,17.770211,50.973713,74.961343,0.000000,0.374860
0.005000,40.602294,159.327427,18.026017,51.348520,74.961343,0.000000,0.380260
0.005000,40.841307,159.423716,18.283696,51.723326,74.961343,-0.000000,0.385682
0.005000,41.081527,159.522012,18.543250,52.098133,74.961343,0.000000,0.391126
0.005000,41.322938,159.622336,18.804677,52.472940,74.961343,0.000000,0.396589
0.005000,41.565523,159.724709,19.067979,52.847747,74.961343,-0.000000,0.402071
0.005000,41.809265,159.829150,19.333155,53.222553,74.961343,0.000000,0.407571
0.005000,42.054146,159.935679,19.600205,53.597360,74.961343,0.000000,0.413088
0.005000,42.300150,160.044317,19.869129,53.972167,74.961343,-0.000000,0.418620
0.005000,42.547258,160.155083,20.139926,54.346973,74.961343,0.000000,0.424166
0.005000,42.795453,160.267994,20.412598,54.721780,74.961343,0.000000,0.429726
0.005000,43.044717,160.383071,20.687144,55.096587,74.961343,-0.000000,0.435297
0.005000,43.295032,160.500331,20.963564,55.471394,74.961343,0.000000,0.440878
0.005000,43.546381,160.619792,21.241858,55.846200,74.961343,0.000000,0.446468
0.005000,43.798746,160.741471,21.522026,56.221007,74.961343,-0.000000,0.452067
0.005000,44.052109,160.865386,21.804068,56.595814,74.961343,0.000000,0.457671
0.005000,44.306452,160.991551,22.087984,56.970620,74.961343,0.000000,0.463281
0.005000,44.561757,161.119984,22.373774,57.345427,74.961343,-0.000000,0.468895
0.005000,44.818007,161.250701,22.661439,57.720234,74.961343,0.000000,0.474511
0.005000,45.075182,161.383715,22.950977,58.095041,74.961343,0.000000,0.480128
0.005000,45.333266,161.519042,23.242389,58.469847,74.961343,-0.000000,0.485745
0.005000,45.592241,161.656697,23.535675,58.844654,74.961343,0.000000,0.491360
0.005000,45.852089,161.796691,23.830835,59.219461,74.961343,0.000000,0.496972
0.005000,46.112792,161.939039,24.127870,59.594267,74.961343,-0.000000,0.502580
0.005000,46.374333,162.083754,24.426778,59.969074,74.961343,0.000000,0.508181
0.005000,46.636695,162.230846,24.727561,60.343881,74.961343,0.000000,0.513776
0.005000,46.899859,162.380329,25.030217,60.718687,74.961343,-0.000000,0.519361
0.005000,47.163810,162.532212,25.334747,61.093494,74.961343,-0.000000,0.524937
0.005000,47.428530,162.686507,25.641152,61.468301,74.961343,0.000000,0.530500
