dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,23.000000,156.000000,0.000013,0.005000,1.000000,200.000000,0.000023
0.005000,23.000000,156.000000,0.000063,0.015000,2.000000,200.000000,0.000023
0.005000,23.000000,156.000000,0.000175,0.030000,3.000000,200.000000,0.000020
0.005000,23.000000,156.000000,0.000375,0.050000,4.000000,200.000000,0.000017
0.005000,23.000000,156.000000,0.000687,0.075000,5.000000,200.000000,0.000011
0.005000,23.000000,156.000000,0.001138,0.105000,6.000000,200.000000,0.000002
0.005000,23.000485,156.000000,0.001750,0.140000,7.000000,200.000000,6.283176
0.005000,23.001285,156.000000,0.002550,0.180000,8.000000,200.000000,6.283161
0.005000,23.002297,156.000000,0.003563,0.225000,9.000000,200.000000,6.283142
0.005000,23.003547,156.000000,0.004813,0.275000,10.000000,200.000000,6.283119
0.005000,23.005060,156.000000,0.006325,0.330000,11.000000,200.000000,6.283090
0.005000,23.006860,156.000000,0.008125,0.390000,12.000000,200.000000,6.283057
0.005000,23.008972,155.999999,0.010238,0.455000,13.000000,200.000000,6.283017
0.005000,23.011422,155.999999,0.012688,0.525000,14.000000,200.000000,6.282971
0.005000,23.014235,155.999998,0.015500,0.600000,15.000000,200.000000,6.282918
0.005000,23.017435,155.999997,0.018700,0.680000,16.000000,200.000000,6.282858
0.005000,23.021047,155.999996,0.022313,0.765000,17.000000,200.000000,6.282791
0.005000,23.025097,155.999994,0.026363,0.855000,18.000000,200.000000,6.282715
0.005000,23.029610,155.999992,0.030875,0.950000,19.000000,200.000000,6.282630
0.005000,23.034610,155.999989,0.035875,1.050000,20.000000,200.000000,6.282536
0.005000,23.040122,155.999985,0.041388,1.155000,21.000000,200.000000,6.282433
0.005000,23.046172,155.999980,0.047438,1.265000,22.000000,200.000000,6.282320
0.005000,23.052785,155.999974,0.054050,1.380000,23.000000,200.000000,6.282196
0.005000,23.059985,155.999966,0.061250,1.500000,24.000000,200.000000,6.282061
0.005000,23.067797,155.999957,0.069062,1.625000,25.000000,200.000000,6.281914
0.005000,23.076247,155.999945,0.077512,1.755000,26.000000,200.000000,6.281755
0.005000,23.085360,155.999932,0.086625,1.890000,27.000000,200.000000,6.281584
0.005000,23.095160,155.999915,0.096425,2.030000,28.000000,200.000000,6.281401
0.005000,23.105672,155.999895,0.106937,2.175000,29.000000,200.000000,6.281203
0.005000,23.116922,155.999872,0.118187,2.325000,30.000000,200.000000,6.280992
0.005000,23.128935,155.999844,0.130200,2.480000,31.000000,200.000000,6.280767
0.005000,23.141735,155.999812,0.143000,2.640000,32.000000,200.000000,6.280526
0.005000,23.155347,155.999774,0.156612,2.805000,33.000000,200.000000,6.280271
0.005000,23.169797,155.999730,0.171062,2.975000,34.000000,200.000000,6.279999
0.005000,23.185110,155.999679,0.186375,3.150000,35.000000,200.000000,6.279712
0.005000,23.201309,155.999620,0.202575,3.330000,36.000000,200.000000,6.279407
0.005000,23.218422,155.999552,0.219687,3.515000,37.000000,200.000000,6.279086
0.005000,23.236472,155.999475,0.237737,3.705000,38.000000,200.000000,6.278747
0.005000,23.255484,155.999388,0.256750,3.900000,39.000000,200.000000,6.278389
0.005000,23.275484,155.999288,0.276750,4.100000,40.000000,200.000000,6.278013
0.005000,23.296496,155.999175,0.297762,4.305000,41.000000,200.000000,6.277618
0.005000,23.318546,155.999048,0.319812,4.515000,42.000000,200.000000,6.277203
0.005000,23.341658,155.998905,0.342925,4.730000,43.000000,200.000000,6.276768
0.005000,23.365857,155.998744,0.367125,4.950000,44.000000,200.000000,6.276313
0.005000,23.391169,155.998564,0.392437,5.175000,45.000000,200.000000,6.275836
0.005000,23.417618,155.998363,0.418887,5.405000,46.000000,200.000000,6.275338
0.005000,23.445230,155.998139,0.446500,5.640000,47.000000,200.000000,6.274818
0.005000,23.474029,155.997890,0.475300,5.880000,48.000000,200.000000,6.274275
0.005000,23.504040,155.997614,0.505312,6.125000,49.000000,200.000000,6.273710
0.005000,23.535288,155.997309,0.536562,6.375000,50.000000,200.000000,6.273120
0.005000,23.567799,155.996972,0.569075,6.630000,51.000000,200.000000,6.272507
0.005000,23.601597,155.996600,0.602875,6.890000,52.000000,200.000000,6.271869
0.005000,23.636707,155.996191,0.637988,7.155000,53.000000,200.000000,6.271207
0.005000,23.673154,155.995742,0.674438,7.425000,54.000000,200.000000,6.270518
0.005000,23.710964,155.995249,0.712250,7.700000,55.000000,200.000000,6.269804
0.005000,23.750160,155.994710,0.751450,7.980000,56.000000,200.000000,6.269063
0.005000,23.790768,155.994121,0.792063,8.265000,57.000000,200.000000,6.268295
0.005000,23.832813,155.993478,0.834113,8.555000,58.000000,200.000000,6.267500
0.005000,23.876320,155.992778,0.877625,8.850000,59.000000,200.000000,6.266676
0.005000,23.921314,155.992016,0.922625,9.150000,60.000000,200.000000,6.265824
0.005000,23.967819,155.991188,0.969138,9.455000,61.000000,200.000000,6.264943
0.005000,24.015860,155.990290,1.017188,9.765000,62.000000,200.000000,6.264033
0.005000,24.065463,155.989316,1.066800,10.080000,63.000000,200.000000,6.263092
0.005000,24.116653,155.988263,1.118000,10.400000,64.000000,200.000000,6.262121
0.005000,24.169453,155.987124,1.170813,10.725000,65.000000,200.000000,6.261118
0.005000,24.223889,155.985894,1.225263,11.055000,66.000000,200.000000,6.260084
0.005000,24.279986,155.984568,1.281375,11.390000,67.000000,200.000000,6.259018
0.005000,24.337768,155.983140,1.339175,11.730000,68.000000,200.000000,6.257919
0.005000,24.397261,155.981603,1.398688,12.075000,69.000000,200.000000,6.256787
0.005000,24.458488,155.979950,1.459938,12.425000,70.000000,200.000000,6.255621
0.005000,24.521476,155.978176,1.522950,12.780000,71.000000,200.000000,6.254421
0.005000,24.586248,155.976272,1.587750,13.140000,72.000000,200.000000,6.253186
0.005000,24.652829,155.974232,1.654363,13.505000,73.000000,200.000000,6.251916
0.005000,24.721244,155.972047,1.722813,13.875000,74.000000,200.000000,6.250610
0.005000,24.791518,155.969710,1.793125,14.250000,75.000000,200.000000,6.249267
0.005000,24.863662,155.967212,1.865313,14.625000,75.000000,0.000000,6.247888
0.005000,24.937677,155.964546,1.939375,15.000000,75.000000,0.000000,6.246472
0.005000,25.013561,155.961704,2.015313,15.375000,75.000000,-0.000000,6.245019
0.005000,25.091315,155.958677,2.093125,15.750000,75.000000,0.000000,6.243530
0.005000,25.170937,155.955457,2.172813,16.125000,75.000000,-0.000000,6.242003
0.005000,25.252428,155.952035,2.254375,16.500000,75.000000,0.000000,6.240439
0.005000,25.335786,155.948403,2.337813,16.875000,75.000000,0.000000,6.238838
0.005000,25.421012,155.944551,2.423125,17.250000,75.000000,0.000000,6.237201
0.005000,25.508104,155.940470,2.510313,17.625000,75.000000,0.000000,6.235526
0.005000,25.597061,155.936151,2.599375,18.000000,75.000000,0.000000,6.233813
0.005000,25.687884,155.931583,2.690313,18.375000,75.000000,0.000000,6.232064
0.005000,25.780571,155.926758,2.783125,18.750000,75.000000,0.000000,6.230277
0.005000,25.875121,155.921664,2.877813,19.125000,75.000000,0.000000,6.228452
0.005000,25.971534,155.916292,2.974375,19.500000,75.000000,0.000000,6.226591
0.005000,26.069809,155.910631,3.072813,19.875000,75.000000,0.000000,6.224691
0.005000,26.169944,155.904669,3.173125,20.250000,75.000000,0.000000,6.222754
0.005000,26.271939,155.898397,3.275313,20.625000,75.000000,0.000000,6.220780
0.005000,26.375792,155.891803,3.379375,21.000000,75.000000,0.000000,6.218768
0.005000,26.481503,155.884875,3.485313,21.375000,75.000000,-0.000000,6.216718
0.005000,26.589070,155.877602,3.593125,21.750000,75.000000,0.000000,6.214630
0.005000,26.698491,155.869972,3.702813,22.125000,75.000000,-0.000000,6.212505
0.005000,26.809767,155.861973,3.814375,22.500000,75.000000,0.000000,6.210342
0.005000,26.922894,155.853592,3.927812,22.875000,75.000000,0.000000,6.208141
0.005000,27.037872,155.844818,4.043125,23.250000,75.000000,0.000000,6.205902
0.005000,27.154700,155.835638,4.160312,23.625000,75.000000,0.000000,6.203625
0.005000,27.273375,155.826038,4.279375,24.000000,75.000000,0.000000,6.201310
0.005000,27.393895,155.816005,4.400313,24.375000,75.000000,0.000000,6.198957
0.005000,27.516260,155.805527,4.523125,24.750000,75.000000,0.000000,6.196566
0.005000,27.640467,155.794589,4.647813,25.125000,75.000000,0.000000,6.194138
0.005000,27.766514,155.783179,4.774375,25.500000,75.000000,0.000000,6.191671
0.005000,27.894399,155.771281,4.902813,25.875000,75.000000,-0.000000,6.189167
0.005000,28.024120,155.758882,5.033125,26.250000,75.000000,0.000000,6.186624
0.005000,28.155675,155.745968,5.165313,26.625000,75.000000,-0.000000,6.184043
0.005000,28.289062,155.732524,5.299375,27.000000,75.000000,0.000000,6.181425
0.005000,28.424278,155.718535,5.435313,27.375000,75.000000,0.000000,6.178769
0.005000,28.561320,155.703987,5.573125,27.750000,75.000000,0.000000,6.176074
0.005000,28.700187,155.688864,5.712813,28.125000,75.000000,0.000000,6.173342
0.005000,28.840874,155.673150,5.854375,28.500000,75.000000,0.000000,6.170572
0.005000,28.983380,155.656832,5.997813,28.875000,75.000000,0.000000,6.167765
0.005000,29.127702,155.639891,6.143125,29.250000,75.000000,0.000000,6.164919
0.005000,29.273836,155.622314,6.290313,29.625000,75.000000,0.000000,6.162036
0.005000,29.421780,155.604083,6.439375,30.000000,75.000000,0.000000,6.159116
0.005000,29.571529,155.585183,6.590313,30.375000,75.000000,0.000000,6.156158
0.005000,29.723081,155.565597,6.743125,30.750000,75.000000,-0.000000,6.153162
0.005000,29.876432,155.545308,6.897813,31.125000,75.000000,0.000000,6.150130
0.005000,30.031579,155.524300,7.054375,31.500000,75.000000,-0.000000,6.147060
0.005000,30.188517,155.502555,7.212813,31.875000,75.000000,0.000000,6.143953
0.005000,30.347243,155.480057,7.373125,32.250000,75.000000,0.000000,6.140809
0.005000,30.507752,155.456788,7.535312,32.625000,75.000000,0.000000,6.137629
0.005000,30.670041,155.432731,7.699375,33.000000,75.000000,0.000000,6.134411
0.005000,30.834106,155.407868,7.865312,33.375000,75.000000,0.000000,6.131158
0.005000,30.999940,155.382181,8.033125,33.750000,75.000000,0.000000,6.127868
0.005000,31.167541,155.355652,8.202813,34.125000,75.000000,0.000000,6.124542
