dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,33.000000,-156.000000,0.000037,0.014934,2.986819,597.363873,0.000000
0.005000,33.000000,-156.000000,0.000187,0.044802,5.973639,597.363873,0.000000
0.005000,33.000000,-156.000000,0.000523,0.089605,8.960458,597.363873,0.000000
0.005000,33.000080,-156.000000,0.001120,0.149341,11.947277,597.363873,0.000000
0.005000,33.001013,-156.000000,0.002053,0.224011,14.934097,597.363873,0.000000
0.005000,33.002358,-156.000000,0.003398,0.313616,17.920916,597.363873,0.000000
0.005000,33.004187,-156.000000,0.005227,0.418155,20.907736,597.363873,0.000000
0.005000,33.006576,-156.000000,0.007616,0.537627,23.894555,597.363873,0.000000
0.005000,33.009601,-156.000000,0.010641,0.672034,26.881374,597.363873,0.000000
0.005000,33.013334,-156.000000,0.014374,0.821375,29.868194,597.363873,0.000000
0.005000,33.017852,-156.000000,0.018892,0.985650,32.855013,597.363873,0.000000
0.005000,33.023228,-156.000000,0.024268,1.164860,35.841832,597.363873,0.000000
0.005000,33.029538,-156.000000,0.030578,1.359003,38.828652,597.363873,0.000000
0.005000,33.036855,-156.000000,0.037895,1.568080,41.815471,597.363873,0.000000
0.005000,33.045256,-156.000000,0.046296,1.792092,44.802290,597.363873,0.000000
0.005000,33.054814,-156.000000,0.055854,2.031037,47.789110,597.363873,0.000000
0.005000,33.065603,-156.000000,0.066643,2.284917,50.775929,597.363873,0.000000
0.005000,33.077700,-156.000000,0.078740,2.553731,53.762749,597.363873,0.000000
0.005000,33.091178,-156.000000,0.092218,2.837478,56.749568,597.363873,0.000000
0.005000,33.106112,-156.000000,0.107152,3.136160,59.736387,597.363873,0.000000
0.005000,33.122577,-156.000000,0.123617,3.449776,62.723207,597.363873,0.000000
0.005000,33.140647,-156.000000,0.141687,3.778326,65.710026,597.363873,0.000000
0.005000,33.160398,-156.000000,0.161438,4.121811,68.696845,597.363873,0.000000
0.005000,33.181903,-156.000000,0.182943,4.480229,71.683665,597.363873,0.000000
0.005000,33.205237,-156.000000,0.206277,4.853581,74.670484,597.363873,0.000000
0.005000,33.230476,-156.000000,0.231516,5.241868,77.657303,597.363873,0.000000
0.005000,33.257693,-156.000000,0.258733,5.645089,80.644123,597.363873,0.000000
0.005000,33.286964,-156.000000,0.288004,6.063243,83.630942,597.363873,0.000000
0.005000,33.318363,-156.000000,0.319403,6.496332,86.617762,597.363873,0.000000
0.005000,33.351965,-156.000000,0.353005,6.944355,89.604581,597.363873,0.000000
0.005000,33.387844,-156.000000,0.388884,7.407312,92.591400,597.363873,0.000000
0.005000,33.426075,-156.000000,0.427115,7.885203,95.578220,597.363873,0.000000
0.005000,33.466733,-156.000000,0.467773,8.378028,98.565039,597.363873,0.000000
0.005000,33.509893,-156.000000,0.510933,8.885788,101.551858,597.363873,0.000000
0.005000,33.555628,-156.000000,0.556668,9.408481,104.538678,597.363873,0.000000
0.005000,33.604015,-156.000000,0.605055,9.946108,107.525497,597.363873,0.000000
0.005000,33.655127,-156.000000,0.656167,10.498670,110.512316,597.363873,0.000000
0.005000,33.709039,-156.000000,0.710079,11.066166,113.499136,597.363873,0.000000
0.005000,33.765826,-156.000000,0.766866,11.648596,116.485955,597.363873,0.000000
0.005000,33.825562,-156.000000,0.826602,12.245959,119.472775,597.363873,0.000000
0.005000,33.888285,-156.000000,0.889325,12.843323,119.472775,-0.000000,0.000000
0.005000,33.953995,-156.000000,0.955035,13.440687,119.472775,0.000000,0.000000
0.005000,34.022692,-156.000000,1.023732,14.038051,119.472775,0.000000,0.000000
0.005000,34.094376,-156.000000,1.095416,14.635415,119.472775,-0.000000,0.000000
0.005000,34.169046,-156.000000,1.170086,15.232779,119.472775,0.000000,0.000000
0.005000,34.246704,-156.000000,1.247744,15.830143,119.472775,0.000000,0.000000
0.005000,34.327348,-156.000000,1.328388,16.427506,119.472775,0.000000,0.000000
0.005000,34.410979,-156.000000,1.412019,17.024870,119.472775,0.000000,0.000000
0.005000,34.497597,-156.000000,1.498637,17.622234,119.472775,-0.000000,0.000000
0.005000,34.587201,-156.000000,1.588241,18.219598,119.472775,0.000000,0.000000
0.005000,34.679793,-156.000000,1.680833,18.816962,119.472775,0.000000,0.000000
0.005000,34.775371,-156.000000,1.776411,19.414326,119.472775,0.000000,0.000000
0.005000,34.873936,-156.000000,1.874976,20.011690,119.472775,-0.000000,0.000000
0.005000,34.975488,-156.000000,1.976528,20.609054,119.472775,0.000000,0.000000
0.005000,35.080026,-156.000000,2.081066,21.206417,119.472775,0.000000,0.000000
0.005000,35.187552,-156.000000,2.188592,21.803781,119.472775,-0.000000,0.000000
0.005000,35.298064,-156.000000,2.299104,22.401145,119.472775,0.000000,0.000000
0.005000,35.411563,-156.000000,2.412603,22.998509,119.472775,-0.000000,0.000000
0.005000,35.528049,-156.000000,2.529089,23.595873,119.472775,0.000000,0.000000
0.005000,35.647522,-156.000000,2.648562,24.193237,119.472775,0.000000,0.000000
0.005000,35.769982,-156.000000,2.771022,24.790601,119.472775,0.000000,0.000000
0.005000,35.895428,-156.000000,2.896468,25.387965,119.472775,-0.000000,0.000000
0.005000,36.023861,-156.000000,3.024901,25.985328,119.472775,0.000000,0.000000
0.005000,36.155281,-156.000000,3.156321,26.582692,119.472775,-0.000000,0.000000
