dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,33.000000,-154.000000,0.000049,0.019622,3.924330,784.866063,0.000000
0.005000,33.000000,-154.000000,0.000245,0.058865,7.848661,784.866063,0.000000
0.005000,33.000000,-154.000000,0.000687,0.117730,11.772991,784.866063,0.000000
0.005000,33.000432,-154.000000,0.001472,0.196217,15.697321,784.866063,0.000000
0.005000,33.001658,-154.000000,0.002698,0.294325,19.621652,784.866063,0.000000
0.005000,33.003424,-154.000000,0.004464,0.412055,23.545982,784.866063,0.000000
0.005000,33.005828,-154.000000,0.006868,0.549406,27.470312,784.866063,0.000000
0.005000,33.008967,-154.000000,0.010007,0.706379,31.394643,784.866063,0.000000
0.005000,33.012940,-154.000000,0.013980,0.882974,35.318973,784.866063,0.000000
0.005000,33.017846,-154.000000,0.018886,1.079191,39.243303,784.866063,0.000000
0.005000,33.023781,-154.000000,0.024821,1.295029,43.167633,784.866063,0.000000
0.005000,33.030845,-154.000000,0.031885,1.530489,47.091964,784.866063,0.000000
0.005000,33.039135,-154.000000,0.040175,1.785570,51.016294,784.866063,0.000000
0.005000,33.048750,-154.000000,0.049790,2.060273,54.940624,784.866063,0.000000
0.005000,33.059787,-154.000000,0.060827,2.354598,58.864955,784.866063,0.000000
0.005000,33.072345,-154.000000,0.073385,2.668545,62.789285,784.866063,0.000000
0.005000,33.086522,-154.000000,0.087562,3.002113,66.713615,784.866063,0.000000
0.005000,33.102415,-154.000000,0.103455,3.355302,70.637946,784.866063,0.000000
0.005000,33.120124,-154.000000,0.121164,3.728114,74.562276,784.866063,0.000000
0.005000,33.139745,-154.000000,0.140785,4.120547,78.486606,784.866063,0.000000
0.005000,33.161378,-154.000000,0.162418,4.532602,82.410937,784.866063,0.000000
0.005000,33.185120,-154.000000,0.186160,4.964278,86.335267,784.866063,0.000000
0.005000,33.211070,-154.000000,0.212110,5.415576,90.259597,784.866063,0.000000
0.005000,33.239325,-154.000000,0.240365,5.886495,94.183928,784.866063,0.000000
0.005000,33.269984,-154.000000,0.271024,6.377037,98.108258,784.866063,0.000000
0.005000,33.303145,-154.000000,0.304185,6.887200,102.032588,784.866063,0.000000
0.005000,33.338905,-154.000000,0.339945,7.416984,105.956918,784.866063,0.000000
0.005000,33.377364,-154.000000,0.378404,7.966391,109.881249,784.866063,0.000000
0.005000,33.418618,-154.000000,0.419658,8.535418,113.805579,784.866063,0.000000
0.005000,33.462767,-154.000000,0.463807,9.124068,117.729909,784.866063,0.000000
0.005000,33.509908,-154.000000,0.510948,9.732339,121.654240,784.866063,0.000000
0.005000,33.560139,-154.000000,0.561179,10.360232,125.578570,784.866063,0.000000
0.005000,33.613559,-154.000000,0.614599,11.007747,129.502900,784.866063,0.000000
0.005000,33.670217,-154.000000,0.671257,11.655261,129.502900,-0.000000,0.000000
0.005000,33.730112,-154.000000,0.731152,12.302776,129.502900,0.000000,0.000000
0.005000,33.793244,-154.000000,0.794284,12.950290,129.502900,0.000000,0.000000
0.005000,33.859615,-154.000000,0.860655,13.597805,129.502900,0.000000,0.000000
0.005000,33.929223,-154.000000,0.930263,14.245319,129.502900,0.000000,0.000000
0.005000,34.002068,-154.000000,1.003108,14.892834,129.502900,-0.000000,0.000000
0.005000,34.078151,-154.000000,1.079191,15.540348,129.502900,0.000000,0.000000
0.005000,34.157471,-154.000000,1.158511,16.187863,129.502900,0.000000,0.000000
0.005000,34.240029,-154.000000,1.241069,16.835377,129.502900,-0.000000,0.000000
0.005000,34.325825,-154.000000,1.326865,17.482892,129.502900,-0.000000,0.000000
0.005000,34.414858,-154.000000,1.415898,18.130406,129.502900,0.000000,0.000000
0.005000,34.507129,-154.000000,1.508169,18.777921,129.502900,0.000000,0.000000
0.005000,34.602638,-154.000000,1.603678,19.425435,129.502900,0.000000,0.000000
0.005000,34.701384,-154.000000,1.702424,20.072950,129.502900,0.000000,0.000000
0.005000,34.803367,-154.000000,1.804407,20.720464,129.502900,-0.000000,0.000000
0.005000,34.908588,-154.000000,1.909628,21.367979,129.502900,0.000000,0.000000
0.005000,35.017047,-154.000000,2.018087,22.015493,129.502900,0.000000,0.000000
0.005000,35.128743,-154.000000,2.129783,22.663008,129.502900,-0.000000,0.000000
0.005000,35.243677,-154.000000,2.244717,23.310522,129.502900,0.000000,0.000000
0.005000,35.361848,-154.000000,2.362888,23.958037,129.502900,0.000000,0.000000
0.005000,35.483257,-154.000000,2.484297,24.605551,129.502900,0.000000,0.000000
0.005000,35.607904,-154.000000,2.608944,25.253066,129.502900,0.000000,0.000000
0.005000,35.735788,-154.000000,2.736828,25.900580,129.502900,0.000000,0.000000
0.005000,35.866910,-154.000000,2.867950,26.548095,129.502900,0.000000,0.000000
0.005000,36.001269,-154.000000,3.002309,27.195609,129.502900,0.000000,0.000000
0.005000,36.138866,-154.000000,3.139906,27.843124,129.502900,0.000000,0.000000
0.005000,36.279700,-154.000000,3.280740,28.490638,129.502900,0.000000,0.000000
0.005000,36.423772,-154.000000,3.424812,29.138153,129.502900,0.000000,0.000000
0.005000,36.571082,-154.000000,3.572122,29.785667,129.502900,-0.000000,0.000000
0.005000,36.721629,-154.000000,3.722669,30.433182,129.502900,0.000000,0.000000
0.005000,36.875413,-154.000000,3.876453,31.080696,129.502900,0.000000,0.000000
0.005000,37.032436,-154.000000,4.033476,31.728211,129.502900,0.000000,0.000000
0.005000,37.192696,-154.000000,4.193736,32.375725,129.502900,0.000000,0.000000
0.005000,37.356193,-154.000000,4.357233,33.023240,129.502900,-0.000000,0.000000
0.005000,37.522928,-154.000000,4.523968,33.670754,129.502900,0.000000,0.000000
0.005000,37.692901,-154.000000,4.693941,34.318269,129.502900,-0.000000,0.000000
0.005000,37.866111,-154.000000,4.867151,34.965783,129.502900,0.000000,0.000000
0.005000,38.042558,-154.000000,5.043598,35.613298,129.502900,0.000000,0.000000
0.005000,38.222244,-154.000000,5.223284,36.260812,129.502900,-0.000000,0.000000
0.005000,38.405166,-154.000000,5.406206,36.908327,129.502900,0.000000,0.000000
0.005000,38.591327,-154.000000,5.592367,37.555841,129.502900,-0.000000,0.000000
0.005000,38.780725,-154.000000,5.781765,38.203356,129.502900,0.000000,0.000000
0.005000,38.973360,-154.000000,5.974400,38.850870,129.502900,-0.000000,0.000000
0.005000,39.169234,-154.000000,6.170274,39.498385,129.502900,0.000000,0.000000
0.005000,39.368344,-154.000000,6.369384,40.145899,129.502900,0.000000,0.000000
0.005000,39.570693,-154.000000,6.571733,40.793414,129.502900,-0.000000,0.000000
0.005000,39.776278,-154.000000,6.777318,41.440928,129.502900,0.000000,0.000000
0.005000,39.985102,-154.000000,6.986142,42.088443,129.502900,-0.000000,0.000000
0.005000,40.197163,-154.000000,7.198203,42.735957,129.502900,0.000000,0.000000
0.005000,40.412461,-154.000000,7.413501,43.383472,129.502900,-0.000000,0.000000
0.005000,40.630998,-154.000000,7.632038,44.030986,129.502900,0.000000,0.000000
0.005000,40.852771,-154.000000,7.853811,44.678501,129.502900,-0.000000,0.000000
0.005000,41.077783,-154.000000,8.078823,45.326015,129.502900,0.000000,0.000000
0.005000,41.306031,-154.000000,8.307071,45.973530,129.502900,0.000000,0.000000
0.005000,41.537518,-154.000000,8.538558,46.621044,129.502900,-0.000000,0.000000
0.005000,41.772242,-154.000000,8.773282,47.268559,129.502900,0.000000,0.000000
0.005000,42.010203,-154.000000,9.011243,47.916073,129.502900,-0.000000,0.000000
0.005000,42.251403,-154.000000,9.252443,48.563588,129.502900,0.000000,0.000000
0.005000,42.495839,-154.000000,9.496879,49.211102,129.502900,-0.000000,0.000000
0.005000,42.743514,-154.000000,9.744554,49.858617,129.502900,0.000000,0.000000
0.005000,42.994426,-154.000000,9.995466,50.506131,129.502900,-0.000000,0.000000
0.005000,43.248575,-154.000000,10.249615,51.153646,129.502900,0.000000,0.000000
0.005000,43.505962,-154.000000,10.507002,51.801160,129.502900,0.000000,0.000000
0.005000,43.766587,-154.000000,10.767627,52.448675,129.502900,-0.000000,0.000000
0.005000,44.030449,-154.000000,11.031489,53.096189,129.502900,0.000000,0.000000
0.005000,44.297548,-154.000000,11.298588,53.743704,129.502900,0.000000,0.000000
0.005000,44.567886,-154.000000,11.568926,54.391218,129.502900,-0.000000,0.000000
0.005000,44.841461,-154.000000,11.842501,55.038733,129.502900,0.000000,0.000000
0.005000,45.118273,-154.000000,12.119313,55.686247,129.502900,-0.000000,0.000000
0.005000,45.398323,-154.000000,12.399363,56.333762,129.502900,0.000000,0.000000
0.005000,45.681611,-154.000000,12.682651,56.981276,129.502900,-0.000000,0.000000
0.005000,45.968136,-154.000000,12.969176,57.628791,129.502900,0.000000,0.000000
0.005000,46.257899,-154.000000,13.258939,58.276305,129.502900,-0.000000,0.000000
0.005000,46.550899,-154.000000,13.551939,58.923820,129.502900,0.000000,0.000000
0.005000,46.847137,-154.000000,13.848177,59.571334,129.502900,-0.000000,0.000000
0.005000,47.146612,-154.000000,14.147652,60.218849,129.502900,0.000000,0.000000
0.005000,47.449325,-154.000000,14.450365,60.866363,129.502900,-0.000000,0.000000
0.005000,47.755276,-154.000000,14.756316,61.513878,129.502900,0.000000,0.000000
0.005000,48.064464,-154.000000,15.065504,62.161392,129.502900,-0.000000,0.000000
0.005000,48.376890,-154.000000,15.377930,62.808907,129.502900,0.000000,0.000000
0.005000,48.692553,-154.000000,15.693593,63.456421,129.502900,-0.000000,0.000000
0.005000,49.011454,-154.000000,16.012494,64.103936,129.502900,0.000000,0.000000
0.005000,49.333592,-154.000000,16.334632,64.751450,129.502900,0.000000,0.000000
0.005000,49.658969,-154.000000,16.660009,65.398965,129.502900,-0.000000,0.000000
0.005000,49.987582,-154.000000,16.988622,66.046479,129.502900,0.000000,0.000000
0.005000,50.319433,-154.000000,17.320473,66.693994,129.502900,0.000000,0.000000
0.005000,50.654522,-154.000000,17.655562,67.341508,129.502900,-0.000000,0.000000
0.005000,50.992848,-154.000000,17.993888,67.989023,129.502900,0.000000,0.000000
0.005000,51.334412,-154.000000,18.335452,68.636537,129.502900,0.000000,0.000000
0.005000,51.679214,-154.000000,18.680254,69.284052,129.502900,0.000000,0.000000
0.005000,52.027253,-154.000000,19.028293,69.931566,129.502900,-0.000000,0.000000
0.005000,52.378529,-154.000000,19.379569,70.579081,129.502900,0.000000,0.000000
0.005000,52.733044,-154.000000,19.734084,71.226595,129.502900,-0.000000,0.000000
0.005000,53.090795,-154.000000,20.091835,71.874110,129.502900,0.000000,0.000000
0.005000,53.451785,-154.000000,20.452825,72.521624,129.502900,-0.000000,0.000000
0.005000,53.816012,-154.000000,20.817052,73.169139,129.502900,0.000000,0.000000
0.005000,54.183476,-154.000000,21.184516,73.816653,129.502900,-0.000000,0.000000
0.005000,54.554178,-154.000000,21.555218,74.464168,129.502900,0.000000,0.000000
0.005000,54.928118,-154.000000,21.929158,75.111682,129.502900,0.000000,0.000000
0.005000,55.305295,-154.000000,22.306335,75.759197,129.502900,0.000000,0.000000
0.005000,55.685710,-154.000000,22.686750,76.406711,129.502900,-0.000000,0.000000
0.005000,56.069362,-154.000000,23.070402,77.054226,129.502900,0.000000,0.000000
0.005000,56.456252,-154.000000,23.457292,77.701740,129.502900,0.000000,0.000000
0.005000,56.846380,-154.000000,23.847420,78.349255,129.502900,0.000000,0.000000
0.005000,57.239745,-154.000000,24.240785,78.996769,129.502900,-0.000000,0.000000
0.005000,57.636347,-154.000000,24.637387,79.644284,129.502900,0.000000,0.000000
0.005000,58.036187,-154.000000,25.037227,80.291798,129.502900,0.000000,0.000000
0.005000,58.439265,-154.000000,25.440305,80.939313,129.502900,-0.000000,0.000000
0.005000,58.845581,-154.000000,25.846621,81.586827,129.502900,0.000000,0.000000
0.005000,59.255133,-154.000000,26.256173,82.234342,129.502900,0.000000,0.000000
0.005000,59.667924,-154.000000,26.668964,82.881856,129.502900,0.000000,0.000000
0.005000,60.083952,-154.000000,27.084992,83.529371,129.502900,-0.000000,0.000000
0.005000,60.503218,-154.000000,27.504258,84.176885,129.502900,0.000000,0.000000
0.005000,60.925721,-154.000000,27.926761,84.824400,129.502900,0.000000,0.000000
0.005000,61.351462,-154.000000,28.352502,85.471914,129.502900,0.000000,0.000000
0.005000,61.780440,-154.000000,28.781480,86.119429,129.502900,-0.000000,0.000000
0.005000,62.212656,-154.000000,29.213696,86.766943,129.502900,0.000000,0.000000
0.005000,62.648109,-154.000000,29.649149,87.414458,129.502900,-0.000000,0.000000
0.005000,63.086801,-154.000000,30.087841,88.061972,129.502900,0.000000,0.000000
0.005000,63.528729,-154.000000,30.529769,88.709487,129.502900,-0.000000,0.000000
0.005000,63.973895,-154.000000,30.974935,89.357001,129.502900,0.000000,0.000000
0.005000,64.422299,-154.000000,31.423339,90.004516,129.502900,-0.000000,0.000000
0.005000,64.873941,-154.000000,31.874981,90.652030,129.502900,0.000000,0.000000
0.005000,65.328819,-154.000000,32.329859,91.299545,129.502900,0.000000,0.000000
0.005000,65.786936,-154.000000,32.787976,91.947059,129.502900,0.000000,0.000000
0.005000,66.248290,-154.000000,33.249330,92.594574,129.502900,-0.000000,0.000000
0.005000,66.712882,-154.000000,33.713922,93.242088,129.502900,0.000000,0.000000
0.005000,67.180711,-154.000000,34.181751,93.889603,129.502900,0.000000,0.000000
0.005000,67.651778,-154.000000,34.652818,94.537117,129.502900,-0.000000,0.000000
0.005000,68.126082,-154.000000,35.127122,95.184632,129.502900,0.000000,0.000000
0.005000,68.603624,-154.000000,35.604664,95.832146,129.502900,0.000000,0.000000
0.005000,69.084355,-154.000000,36.085395,96.460039,125.578570,-784.866063,0.000000
0.005000,69.568175,-154.000000,36.569215,97.068310,121.654240,-784.866063,0.000000
0.005000,70.054989,-154.000000,37.056029,97.656960,117.729909,-784.866063,0.000000
0.005000,70.544696,-154.000000,37.545736,98.225988,113.805579,-784.866063,0.000000
0.005000,71.037199,-154.000000,38.038239,98.775394,109.881249,-784.866063,0.000000
0.005000,71.532401,-154.000000,38.533441,99.305179,105.956918,-784.866063,0.000000
0.005000,72.030202,-154.000000,39.031242,99.815342,102.032588,-784.866063,0.000000
0.005000,72.530505,-154.000000,39.531545,100.305883,98.108258,-784.866063,0.000000
0.005000,73.033212,-154.000000,40.034252,100.776802,94.183928,-784.866063,0.000000
0.005000,73.538224,-154.000000,40.539264,101.228100,90.259597,-784.866063,0.000000
0.005000,74.045444,-154.000000,41.046484,101.659777,86.335267,-784.866063,0.000000
0.005000,74.554773,-154.000000,41.555813,102.071831,82.410937,-784.866063,0.000000
0.005000,75.066113,-154.000000,42.067153,102.464264,78.486606,-784.866063,0.000000
0.005000,75.579366,-154.000000,42.580406,102.837076,74.562276,-784.866063,0.000000
0.005000,76.094435,-154.000000,43.095475,103.190266,70.637946,-784.866063,0.000000
0.005000,76.611220,-154.000000,43.612260,103.523834,66.713615,-784.866063,0.000000
0.005000,77.129624,-154.000000,44.130664,103.837780,62.789285,-784.866063,0.000000
0.005000,77.649549,-154.000000,44.650589,104.132105,58.864955,-784.866063,0.000000
0.005000,78.170896,-154.000000,45.171936,104.406808,54.940624,-784.866063,0.000000
0.005000,78.693568,-154.000000,45.694608,104.661889,51.016294,-784.866063,0.000000
0.005000,79.217466,-154.000000,46.218506,104.897349,47.091964,-784.866063,0.000000
0.005000,79.742492,-154.000000,46.743532,105.113187,43.167633,-784.866063,0.000000
0.005000,80.268549,-154.000000,47.269589,105.309404,39.243303,-784.866063,0.000000
0.005000,80.795537,-154.000000,47.796577,105.485999,35.318973,-784.866063,0.000000
0.005000,81.323360,-154.000000,48.324400,105.642972,31.394643,-784.866063,0.000000
0.005000,81.851918,-154.000000,48.852958,105.780324,27.470312,-784.866063,0.000000
0.005000,82.381114,-154.000000,49.382154,105.898054,23.545982,-784.866063,0.000000
0.005000,82.910849,-154.000000,49.911889,105.996162,19.621652,-784.866063,0.000000
0.005000,83.441026,-154.000000,50.442066,106.074648,15.697321,-784.866063,0.000000
0.005000,83.971547,-154.000000,50.972587,106.133513,11.772991,-784.866063,0.000000
0.005000,84.502313,-154.000000,51.503353,106.172757,7.848661,-784.866063,0.000000
0.005000,85.033219,-154.000000,52.034259,106.189884,3.425507,-884.630633,0.000000
0.005000,85.564113,-154.000000,52.565153,106.167768,-4.423153,-1569.732126,0.000000
0.005000,86.094848,-154.000000,53.095888,106.126031,-8.347483,-784.866063,0.000000
0.005000,86.625325,-154.000000,53.626365,106.064672,-12.271814,-784.866063,0.000000
0.005000,87.155445,-154.000000,54.156485,105.983691,-16.196144,-784.866063,0.000000
0.005000,87.685112,-154.000000,54.686152,105.883089,-20.120474,-784.866063,0.000000
0.005000,88.214227,-154.000000,55.215267,105.762865,-24.044805,-784.866063,0.000000
0.005000,88.742692,-154.000000,55.743732,105.623019,-27.969135,-784.866063,0.000000
0.005000,89.270408,-154.000000,56.271448,105.463552,-31.893465,-784.866063,0.000000
0.005000,89.797278,-154.000000,56.798318,105.284463,-35.817796,-784.866063,0.000000
0.005000,90.323204,-154.000000,57.324244,105.085752,-39.742126,-784.866063,0.000000
0.005000,90.848087,-154.000000,57.849127,104.867420,-43.666456,-784.866063,0.000000
0.005000,91.371829,-154.000000,58.372869,104.629466,-47.590787,-784.866063,0.000000
0.005000,91.894333,-154.000000,58.895373,104.371890,-51.515117,-784.866063,0.000000
0.005000,92.415499,-154.000000,59.416539,104.094693,-55.439447,-784.866063,0.000000
0.005000,92.935230,-154.000000,59.936270,103.797874,-59.363778,-784.866063,0.000000
0.005000,93.453429,-154.000000,60.454469,103.481434,-63.288108,-784.866063,0.000000
0.005000,93.969996,-154.000000,60.971036,103.145372,-67.212438,-784.866063,0.000000
0.005000,94.484833,-154.000000,61.485873,102.789688,-71.136769,-784.866063,0.000000
0.005000,94.997843,-154.000000,61.998883,102.414382,-75.061099,-784.866063,0.000000
0.005000,95.508928,-154.000000,62.509968,102.019455,-78.985429,-784.866063,0.000000
0.005000,96.017989,-154.000000,63.019029,101.604906,-82.909759,-784.866063,0.000000
0.005000,96.524928,-154.000000,63.525968,101.170736,-86.834090,-784.866063,0.000000
0.005000,97.029647,-154.000000,64.030687,100.716944,-90.758420,-784.866063,0.000000
0.005000,97.532048,-154.000000,64.533088,100.243530,-94.682750,-784.866063,0.000000
0.005000,98.032034,-154.000000,65.033074,99.750495,-98.607081,-784.866063,0.000000
0.005000,98.529504,-154.000000,65.530544,99.237838,-102.531411,-784.866063,0.000000
0.005000,99.024363,-154.000000,66.025403,98.705559,-106.455741,-784.866063,0.000000
0.005000,99.516511,-154.000000,66.517551,98.153658,-110.380072,-784.866063,0.000000
0.005000,100.005850,-154.000000,67.006890,97.582136,-114.304402,-784.866063,0.000000
0.005000,100.492283,-154.000000,67.493323,96.990993,-118.228732,-784.866063,0.000000
0.005000,100.975711,-154.000000,67.976751,96.380227,-122.153063,-784.866063,0.000000
0.005000,101.456036,-154.000000,68.457076,95.749840,-126.077393,-784.866063,0.000000
0.005000,101.933167,-154.000000,68.934207,95.102326,-129.502900,-685.101493,0.000000
0.005000,102.407060,-154.000000,69.408100,94.454811,-129.502900,0.000000,0.000000
0.005000,102.877715,-154.000000,69.878755,93.807297,-129.502900,-0.000000,0.000000
0.005000,103.345133,-154.000000,70.346173,93.159782,-129.502900,0.000000,0.000000
0.005000,103.809313,-154.000000,70.810353,92.512268,-129.502900,-0.000000,0.000000
0.005000,104.270255,-154.000000,71.271295,91.864753,-129.502900,0.000000,0.000000
0.005000,104.727960,-154.000000,71.729000,91.217239,-129.502900,0.000000,0.000000
0.005000,105.182428,-154.000000,72.183468,90.569724,-129.502900,0.000000,0.000000
0.005000,105.633658,-154.000000,72.634698,89.922210,-129.502900,0.000000,0.000000
0.005000,106.081650,-154.000000,73.082690,89.274695,-129.502900,-0.000000,0.000000
0.005000,106.526405,-154.000000,73.527445,88.627181,-129.502900,0.000000,0.000000
0.005000,106.967922,-154.000000,73.968962,87.979666,-129.502900,-0.000000,0.000000
0.005000,107.406201,-154.000000,74.407241,87.332152,-129.502900,0.000000,0.000000
0.005000,107.841243,-154.000000,74.842283,86.684637,-129.502900,-0.000000,0.000000
0.005000,108.273048,-154.000000,75.274088,86.037123,-129.502900,0.000000,0.000000
0.005000,108.701614,-154.000000,75.702654,85.389608,-129.502900,-0.000000,0.000000
0.005000,109.126944,-154.000000,76.127984,84.742094,-129.502900,0.000000,0.000000
0.005000,109.549035,-154.000000,76.550075,84.094579,-129.502900,0.000000,0.000000
0.005000,109.967889,-154.000000,76.968929,83.447065,-129.502900,0.000000,0.000000
0.005000,110.383506,-154.000000,77.384546,82.799550,-129.502900,-0.000000,0.000000
0.005000,110.795885,-154.000000,77.796925,82.152036,-129.502900,0.000000,0.000000
0.005000,111.205026,-154.000000,78.206066,81.504521,-129.502900,0.000000,0.000000
0.005000,111.610930,-154.000000,78.611970,80.857007,-129.502900,-0.000000,0.000000
0.005000,112.013596,-154.000000,79.014636,80.209492,-129.502900,0.000000,0.000000
0.005000,112.413025,-154.000000,79.414065,79.561978,-129.502900,0.000000,0.000000
0.005000,112.809216,-154.000000,79.810256,78.914463,-129.502900,0.000000,0.000000
0.005000,113.202170,-154.000000,80.203210,78.266949,-129.502900,0.000000,0.000000
0.005000,113.591886,-154.000000,80.592926,77.619434,-129.502900,-0.000000,0.000000
0.005000,113.978364,-154.000000,80.979404,76.971920,-129.502900,0.000000,0.000000
0.005000,114.361605,-154.000000,81.362645,76.324405,-129.502900,-0.000000,0.000000
0.005000,114.741608,-154.000000,81.742648,75.676891,-129.502900,0.000000,0.000000
