dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,42.000000,-113.000000,0.000050,0.019961,3.992267,798.453376,0.000010
0.005000,42.000000,-113.000000,0.000250,0.059884,7.984534,798.453376,0.000008
0.005000,42.000000,-113.000000,0.000699,0.119768,11.976801,798.453376,0.000003
0.005000,42.000494,-113.000000,0.001497,0.199613,15.969068,798.453376,6.283180
0.005000,42.001741,-113.000000,0.002745,0.299420,19.961334,798.453376,6.283167
0.005000,42.003538,-113.000000,0.004541,0.419188,23.953601,798.453376,6.283147
0.005000,42.005983,-113.000000,0.006986,0.558917,27.945868,798.453376,6.283121
0.005000,42.009177,-113.000000,0.010180,0.718608,31.938135,798.453376,6.283087
0.005000,42.013219,-113.000001,0.014222,0.898260,35.930402,798.453376,6.283044
0.005000,42.018209,-113.000002,0.019213,1.097873,39.922669,798.453376,6.282990
0.005000,42.024248,-113.000003,0.025251,1.317448,43.914936,798.453376,6.282925
0.005000,42.031434,-113.000005,0.032437,1.556984,47.907203,798.453376,6.282848
0.005000,42.039867,-113.000009,0.040871,1.816481,51.899469,798.453376,6.282758
0.005000,42.049648,-113.000013,0.050652,2.095940,55.891736,798.453376,6.282653
0.005000,42.060877,-113.000020,0.061880,2.395360,59.884003,798.453376,6.282533
0.005000,42.073652,-113.000029,0.074655,2.714741,63.876270,798.453376,6.282396
0.005000,42.088074,-113.000042,0.089077,3.054084,67.868537,798.453376,6.282241
0.005000,42.104243,-113.000058,0.105246,3.413388,71.860804,798.453376,6.282068
0.005000,42.122258,-113.000080,0.123261,3.792654,75.853071,798.453376,6.281875
0.005000,42.142219,-113.000108,0.143223,4.191880,79.845338,798.453376,6.281661
0.005000,42.164226,-113.000145,0.165230,4.611068,83.837604,798.453376,6.281426
0.005000,42.188380,-113.000190,0.189383,5.050218,87.829871,798.453376,6.281167
0.005000,42.214778,-113.000247,0.215782,5.509328,91.822138,798.453376,6.280885
0.005000,42.243523,-113.000318,0.244526,5.988400,95.814405,798.453376,6.280578
0.005000,42.274712,-113.000404,0.275716,6.487434,99.806672,798.453376,6.280244
0.005000,42.308397,-113.000509,0.309401,6.986467,99.806672,-0.000000,6.279884
0.005000,42.344576,-113.000636,0.345581,7.485500,99.806672,-0.000000,6.279498
0.005000,42.383251,-113.000786,0.384256,7.984534,99.806672,0.000000,6.279085
0.005000,42.424421,-113.000964,0.425426,8.483567,99.806672,-0.000000,6.278646
0.005000,42.468086,-113.001173,0.469091,8.982600,99.806672,0.000000,6.278181
0.005000,42.514246,-113.001415,0.515252,9.481634,99.806672,-0.000000,6.277689
0.005000,42.562901,-113.001695,0.563908,9.980667,99.806672,0.000000,6.277171
0.005000,42.614051,-113.002017,0.615059,10.479701,99.806672,0.000000,6.276627
0.005000,42.667696,-113.002384,0.668705,10.978734,99.806672,-0.000000,6.276057
0.005000,42.723835,-113.002801,0.724846,11.477767,99.806672,0.000000,6.275460
0.005000,42.782470,-113.003272,0.783482,11.976801,99.806672,-0.000000,6.274838
0.005000,42.843599,-113.003802,0.844614,12.475834,99.806672,0.000000,6.274190
0.005000,42.907223,-113.004396,0.908241,12.974867,99.806672,0.000000,6.273516
0.005000,42.973342,-113.005058,0.974363,13.473901,99.806672,-0.000000,6.272816
0.005000,43.041955,-113.005795,1.042980,13.972934,99.806672,0.000000,6.272091
0.005000,43.113062,-113.006610,1.114092,14.471967,99.806672,-0.000000,6.271340
0.005000,43.186664,-113.007511,1.187699,14.971001,99.806672,0.000000,6.270563
0.005000,43.262760,-113.008502,1.263802,15.470034,99.806672,0.000000,6.269761
0.005000,43.341351,-113.009589,1.342400,15.969068,99.806672,-0.000000,6.268934
0.005000,43.422435,-113.010780,1.423493,16.468101,99.806672,0.000000,6.268081
0.005000,43.506013,-113.012079,1.507081,16.967134,99.806672,-0.000000,6.267204
0.005000,43.592085,-113.013493,1.593164,17.466168,99.806672,0.000000,6.266301
0.005000,43.680650,-113.015030,1.681742,17.965201,99.806672,0.000000,6.265373
0.005000,43.771708,-113.016695,1.772816,18.464234,99.806672,-0.000000,6.264421
0.005000,43.865259,-113.018497,1.866385,18.963268,99.806672,0.000000,6.263444
0.005000,43.961304,-113.020441,1.962449,19.462301,99.806672,-0.000000,6.262442
0.005000,44.059840,-113.022536,2.061008,19.961334,99.806672,0.000000,6.261416
0.005000,44.160870,-113.024789,2.162062,20.460368,99.806672,0.000000,6.260366
0.005000,44.264391,-113.027207,2.265611,20.959401,99.806672,0.000000,6.259291
0.005000,44.370404,-113.029799,2.371656,21.458434,99.806672,-0.000000,6.258192
0.005000,44.478908,-113.032572,2.480196,21.957468,99.806672,0.000000,6.257070
0.005000,44.589903,-113.035535,2.591231,22.456501,99.806672,-0.000000,6.255923
0.005000,44.703389,-113.038697,2.704761,22.955535,99.806672,0.000000,6.254753
0.005000,44.819366,-113.042064,2.820786,23.454568,99.806672,-0.000000,6.253560
0.005000,44.937832,-113.045647,2.939306,23.953601,99.806672,0.000000,6.252343
0.005000,45.058788,-113.049454,3.060322,24.452635,99.806672,0.000000,6.251103
0.005000,45.182232,-113.053494,3.183833,24.951668,99.806672,-0.000000,6.249840
0.005000,45.308165,-113.057776,3.309839,25.450701,99.806672,0.000000,6.248554
0.005000,45.436587,-113.062309,3.438340,25.949735,99.806672,0.000000,6.247246
0.005000,45.567495,-113.067103,3.569336,26.448768,99.806672,-0.000000,6.245915
0.005000,45.700890,-113.072167,3.702828,26.947801,99.806672,0.000000,6.244562
0.005000,45.836772,-113.077512,3.838814,27.446835,99.806672,0.000000,6.243186
0.005000,45.975139,-113.083146,3.977296,27.945868,99.806672,0.000000,6.241789
0.005000,46.115991,-113.089081,4.118273,28.444902,99.806672,-0.000000,6.240370
0.005000,46.259327,-113.095325,4.261745,28.943935,99.806672,0.000000,6.238930
0.005000,46.405147,-113.101889,4.407712,29.442968,99.806672,0.000000,6.237468
0.005000,46.553449,-113.108784,4.556175,29.942002,99.806672,-0.000000,6.235985
0.005000,46.704233,-113.116020,4.707132,30.441035,99.806672,0.000000,6.234482
0.005000,46.857498,-113.123608,4.860585,30.940068,99.806672,0.000000,6.232957
0.005000,47.013243,-113.131558,5.016533,31.439102,99.806672,-0.000000,6.231413
0.005000,47.171467,-113.139881,5.174976,31.938135,99.806672,0.000000,6.229848
0.005000,47.332170,-113.148588,5.335914,32.437168,99.806672,-0.000000,6.228263
0.005000,47.495350,-113.157691,5.499348,32.936202,99.806672,0.000000,6.226659
0.005000,47.661006,-113.167200,5.665276,33.435235,99.806672,-0.000000,6.225035
0.005000,47.829136,-113.177126,5.833700,33.934268,99.806672,0.000000,6.223391
0.005000,47.999741,-113.187482,6.004619,34.433302,99.806672,0.000000,6.221729
0.005000,48.172819,-113.198278,6.178033,34.932335,99.806672,0.000000,6.220049
0.005000,48.348368,-113.209526,6.353942,35.431369,99.806672,0.000000,6.218349
0.005000,48.526388,-113.221238,6.532347,35.930402,99.806672,0.000000,6.216632
0.005000,48.706876,-113.233425,6.713246,36.429435,99.806672,-0.000000,6.214897
0.005000,48.889833,-113.246100,6.896641,36.928469,99.806672,-0.000000,6.213144
0.005000,49.075255,-113.259273,7.082531,37.427502,99.806672,0.000000,6.211374
0.005000,49.263143,-113.272958,7.270916,37.926535,99.806672,0.000000,6.209588
0.005000,49.453493,-113.287165,7.461796,38.425569,99.806672,-0.000000,6.207784
0.005000,49.646306,-113.301908,7.655172,38.924602,99.806672,0.000000,6.205964
0.005000,49.841579,-113.317197,7.851042,39.423635,99.806672,0.000000,6.204128
0.005000,50.039310,-113.333047,8.049408,39.922669,99.806672,0.000000,6.202277
0.005000,50.239499,-113.349467,8.250269,40.421702,99.806672,0.000000,6.200410
0.005000,50.442143,-113.366472,8.453625,40.920736,99.806672,0.000000,6.198527
0.005000,50.647240,-113.384073,8.659476,41.419769,99.806672,0.000000,6.196631
