dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,22.000000,113.000000,0.000037,0.014832,2.966472,593.294433,6.283171
0.005000,22.000000,113.000000,0.000185,0.044497,5.932944,593.294433,6.283173
0.005000,22.000000,113.000000,0.000519,0.088994,8.899417,593.294433,6.283178
0.005000,22.000139,113.000000,0.001112,0.148324,11.865889,593.294433,0.000002
0.005000,22.001066,113.000000,0.002039,0.222485,14.832361,593.294433,0.000016
0.005000,22.002401,113.000000,0.003374,0.311480,17.798833,593.294433,0.000036
0.005000,22.004218,113.000000,0.005191,0.415306,20.765305,593.294433,0.000064
0.005000,22.006591,113.000000,0.007565,0.533965,23.731777,593.294433,0.000100
0.005000,22.009595,113.000001,0.010568,0.667456,26.698250,593.294433,0.000146
0.005000,22.013303,113.000001,0.014276,0.815780,29.664722,593.294433,0.000202
0.005000,22.017790,113.000002,0.018763,0.978936,32.631194,593.294433,0.000270
0.005000,22.023129,113.000004,0.024103,1.156924,35.597666,593.294433,0.000352
0.005000,22.029396,113.000007,0.030369,1.349745,38.564138,593.294433,0.000447
0.005000,22.036664,113.000010,0.037637,1.557398,41.530610,593.294433,0.000557
0.005000,22.045007,113.000015,0.045980,1.779883,44.497083,593.294433,0.000684
0.005000,22.054500,113.000023,0.055473,2.017201,47.463555,593.294433,0.000828
0.005000,22.065216,113.000032,0.066189,2.269351,50.430027,593.294433,0.000991
0.005000,22.077230,113.000045,0.078204,2.536334,53.396499,593.294433,0.001174
0.005000,22.090617,113.000062,0.091590,2.818149,56.362971,593.294433,0.001377
0.005000,22.105449,113.000084,0.106422,3.114796,59.329443,593.294433,0.001602
0.005000,22.121802,113.000113,0.122775,3.426275,62.295916,593.294433,0.001851
0.005000,22.139749,113.000148,0.140722,3.752587,65.262388,593.294433,0.002123
0.005000,22.159364,113.000193,0.160338,4.093732,68.228860,593.294433,0.002421
0.005000,22.180723,113.000248,0.181696,4.449708,71.195332,593.294433,0.002745
