dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,246.500000,86.000000,0.000025,0.009954,1.990741,398.148172,4.188788
0.005000,246.500000,86.000000,0.000124,0.029861,3.981482,398.148172,4.188789
0.005000,246.499928,85.999875,0.000348,0.059722,5.972223,398.148172,4.188792
0.005000,246.499729,85.999530,0.000747,0.099537,7.962963,398.148172,4.188797
0.005000,246.499418,85.998991,0.001369,0.149306,9.953704,398.148172,4.188804
0.005000,246.498970,85.998216,0.002264,0.209028,11.944445,398.148172,4.188815
0.005000,246.498360,85.997160,0.003484,0.278704,13.935186,398.148172,4.188829
0.005000,246.497564,85.995780,0.005076,0.358333,15.925927,398.148172,4.188848
0.005000,246.496556,85.994035,0.007092,0.447917,17.916668,398.148172,4.188872
0.005000,246.495312,85.991880,0.009580,0.547454,19.907409,398.148172,4.188901
0.005000,246.493807,85.989272,0.012591,0.656944,21.898149,398.148172,4.188937
0.005000,246.492016,85.986168,0.016175,0.776389,23.888890,398.148172,4.188979
0.005000,246.489914,85.982526,0.020380,0.905787,25.879631,398.148172,4.189029
0.005000,246.487476,85.978301,0.025258,1.045139,27.870372,398.148172,4.189087
0.005000,246.484679,85.973451,0.030856,1.194445,29.861113,398.148172,4.189154
0.005000,246.481496,85.967933,0.037227,1.353704,31.851854,398.148172,4.189229
0.005000,246.477903,85.961703,0.044418,1.522917,33.842595,398.148172,4.189315
0.005000,246.473876,85.954719,0.052481,1.702083,35.833335,398.148172,4.189411
0.005000,246.469389,85.946936,0.061464,1.891204,37.824076,398.148172,4.189518
0.005000,246.464419,85.938312,0.071418,2.090278,39.814817,398.148172,4.189637
0.005000,246.458941,85.928803,0.082392,2.299306,41.805558,398.148172,4.189768
0.005000,246.452930,85.918367,0.094436,2.518287,43.796299,398.148172,4.189912
0.005000,246.446362,85.906959,0.107600,2.747222,45.787040,398.148172,4.190069
0.005000,246.439212,85.894536,0.121933,2.986111,47.777781,398.148172,4.190241
0.005000,246.431456,85.881055,0.137486,3.234954,49.768521,398.148172,4.190428
0.005000,246.423071,85.866472,0.154307,3.493750,51.759262,398.148172,4.190631
0.005000,246.414031,85.850744,0.172448,3.762500,53.750003,398.148172,4.190849
0.005000,246.404313,85.833827,0.191957,4.041204,55.740744,398.148172,4.191085
0.005000,246.393893,85.815678,0.212885,4.329861,57.731485,398.148172,4.191339
0.005000,246.382748,85.796253,0.235281,4.628472,59.722226,398.148172,4.191611
0.005000,246.370852,85.775508,0.259194,4.937037,61.712967,398.148172,4.191902
0.005000,246.358184,85.753399,0.284676,5.255556,63.703707,398.148172,4.192213
0.005000,246.344719,85.729882,0.311775,5.584028,65.694448,398.148172,4.192545
0.005000,246.330433,85.704913,0.340541,5.922454,67.685189,398.148172,4.192899
0.005000,246.315305,85.678449,0.371024,6.270834,69.675930,398.148172,4.193275
0.005000,246.299311,85.650444,0.403274,6.629167,71.666671,398.148172,4.193674
0.005000,246.282429,85.620855,0.437341,6.997454,73.657412,398.148172,4.194097
0.005000,246.264635,85.589637,0.473274,7.375695,75.648153,398.148172,4.194545
0.005000,246.245907,85.556746,0.511123,7.763889,77.638893,398.148172,4.195019
0.005000,246.226223,85.522138,0.550938,8.162038,79.629634,398.148172,4.195520
0.005000,246.205562,85.485766,0.592768,8.570139,81.620375,398.148172,4.196048
0.005000,246.183901,85.447587,0.636664,8.988195,83.611116,398.148172,4.196606
0.005000,246.161220,85.407555,0.682675,9.416204,85.601857,398.148172,4.197193
0.005000,246.137496,85.365625,0.730851,9.854167,87.592598,398.148172,4.197811
0.005000,246.112710,85.321752,0.781241,10.302084,89.583339,398.148172,4.198461
0.005000,246.086840,85.275890,0.833896,10.759954,91.574079,398.148172,4.199143
0.005000,246.059867,85.227993,0.888866,11.227778,93.564820,398.148172,4.199860
0.005000,246.031770,85.178016,0.946199,11.705556,95.555561,398.148172,4.200613
0.005000,246.002531,85.125913,1.005946,12.193288,97.546302,398.148172,4.201402
0.005000,245.972130,85.071636,1.068157,12.690973,99.537043,398.148172,4.202229
0.005000,245.940561,85.015162,1.132856,13.188658,99.537043,0.000000,4.203095
0.005000,245.907829,84.956486,1.200043,13.686343,99.537043,0.000000,4.204001
0.005000,245.873942,84.895606,1.269719,14.184029,99.537043,0.000000,4.204947
0.005000,245.838905,84.832518,1.341884,14.681714,99.537043,0.000000,4.205934
0.005000,245.802726,84.767218,1.416537,15.179399,99.537043,0.000000,4.206963
0.005000,245.765412,84.699702,1.493678,15.677084,99.537043,0.000000,4.208034
0.005000,245.726970,84.629966,1.573307,16.174769,99.537043,0.000000,4.209150
0.005000,245.687409,84.558005,1.655425,16.672455,99.537043,-0.000000,4.210309
0.005000,245.646737,84.483816,1.740032,17.170140,99.537043,0.000000,4.211514
0.005000,245.604962,84.407394,1.827127,17.667825,99.537043,-0.000000,4.212765
0.005000,245.562094,84.328733,1.916710,18.165510,99.537043,0.000000,4.214064
0.005000,245.518143,84.247829,2.008782,18.663196,99.537043,-0.000000,4.215410
0.005000,245.473117,84.164677,2.103342,19.160881,99.537043,0.000000,4.216806
0.005000,245.427028,84.079271,2.200391,19.658566,99.537043,-0.000000,4.218252
0.005000,245.379885,83.991605,2.299928,20.156251,99.537043,0.000000,4.219749
0.005000,245.331702,83.901674,2.401953,20.653936,99.537043,-0.000000,4.221299
0.005000,245.282488,83.809473,2.506467,21.151622,99.537043,0.000000,4.222903
0.005000,245.232257,83.714994,2.613469,21.649307,99.537043,-0.000000,4.224561
0.005000,245.181020,83.618231,2.722960,22.146992,99.537043,0.000000,4.226275
0.005000,245.128792,83.519177,2.834939,22.644677,99.537043,-0.000000,4.228047
0.005000,245.075585,83.417827,2.949407,23.142362,99.537043,0.000000,4.229877
0.005000,245.021415,83.314173,3.066363,23.640048,99.537043,-0.000000,4.231767
0.005000,244.966295,83.208207,3.185807,24.137733,99.537043,0.000000,4.233718
0.005000,244.910242,83.099922,3.307740,24.635418,99.537043,0.000000,4.235731
0.005000,244.853270,82.989310,3.432162,25.133103,99.537043,-0.000000,4.237809
0.005000,244.795398,82.876364,3.559071,25.630789,99.537043,0.000000,4.239952
0.005000,244.736641,82.761075,3.688470,26.128474,99.537043,-0.000000,4.242161
0.005000,244.677019,82.643435,3.820356,26.626159,99.537043,0.000000,4.244439
0.005000,244.616548,82.523435,3.954731,27.123844,99.537043,-0.000000,4.246787
0.005000,244.555250,82.401066,4.091595,27.621529,99.537043,0.000000,4.249207
0.005000,244.493143,82.276320,4.230946,28.119215,99.537043,-0.000000,4.251699
0.005000,244.430248,82.149186,4.372787,28.616900,99.537043,0.000000,4.254266
0.005000,244.366588,82.019656,4.517115,29.114585,99.537043,-0.000000,4.256910
0.005000,244.302183,81.887719,4.663933,29.612270,99.537043,0.000000,4.259631
0.005000,244.237057,81.753366,4.813238,30.109955,99.537043,-0.000000,4.262433
0.005000,244.171235,81.616586,4.965032,30.607641,99.537043,0.000000,4.265316
0.005000,244.104740,81.477369,5.119315,31.105326,99.537043,-0.000000,4.268282
0.005000,244.037599,81.335703,5.276085,31.603011,99.537043,0.000000,4.271333
0.005000,243.969838,81.191578,5.435345,32.100696,99.537043,-0.000000,4.274472
0.005000,243.901484,81.044984,5.597092,32.598382,99.537043,0.000000,4.277699
0.005000,243.832566,80.895907,5.761328,33.096067,99.537043,0.000000,4.281017
0.005000,243.763114,80.744337,5.928053,33.593752,99.537043,-0.000000,4.284429
0.005000,243.693157,80.590262,6.097266,34.091437,99.537043,0.000000,4.287934
